rxcui,name,tty,SourceId,SourceName,Relation,classId
10114,streptozocin,IN,5W494URQ81,STREPTOZOCIN,INDIRECT,N0000000065
10473,thiotepa,IN,905Z5W3GKH,THIOTEPA,INDIRECT,N0000000065
10798,trientine,IN,SJ76Y07H5F,TRIENTINE,INDIRECT,N0000000065
11645,deferiprone,IN,2BTY8KH53L,DEFERIPRONE,INDIRECT,N0000000065
118886,verteporfin,IN,0X9PA28K43,VERTEPORFIN,INDIRECT,N0000000065
1305558,ammonia N-13,PIN,9OQO0E343Z,AMMONIA N-13,INDIRECT,N0000000065
1314372,indium In-111 oxyquinoline,PIN,LGX9OL562T,INDIUM IN-111 OXYQUINOLINE,INDIRECT,N0000000065
1318915,potassium ion,IN,295O53K152,POTASSIUM CATION,INDIRECT,N0000000065
1331,barium sulfate,IN,25BB7EKE2E,BARIUM SULFATE,INDIRECT,N0000000065
134547,bendamustine,IN,9266D9P3PQ,BENDAMUSTINE,INDIRECT,N0000000065
1361657,iodide ion I-123,PIN,8YWR746RPQ,IODIDE ION I-123,INDIRECT,N0000000065
1362737,fluorodeoxyglucose F18,IN,0Z5B2CJX4D,FLUDEOXYGLUCOSE F-18,INDIRECT,N0000000065
1363352,hydroxyethyl starch 130-0.4,IN,1GVO236S58,HYDROXYETHYL STARCH 130/0.4,INDIRECT,N0000000065
1364290,gadofosveset,IN,E65RW73PHS,GADOFOSVESET,INDIRECT,N0000000065
1364429,sodium cation,IN,LYR4M0NH37,SODIUM CATION,INDIRECT,N0000000065
1370439,"albumin microspheres, human",IN,T8C6W1N6NW,HUMAN ALBUMIN MICROSPHERES,INDIRECT,N0000000065
1373391,technetium Tc 99m tilmanocept,PIN,8IHI69PQTC,TECHNETIUM TC-99M TILMANOCEPT,INDIRECT,N0000000065
141626,colesevelam,IN,1XU104G55N,COLESEVELAM,INDIRECT,N0000000065
1423270,technetium Tc-99m sulfur colloid,PIN,556Q0P6PB1,TECHNETIUM TC-99M SULFUR COLLOID,INDIRECT,N0000000065
1425419,choline C-11,PIN,M4AS4XGD4Q,CHOLINE C-11,INDIRECT,N0000000065
1426598,sulfate ion,IN,7IS9N8KPMG,SULFATE ION,INDIRECT,N0000000065
1426853,magnesium cation,IN,T6V3LHY838,MAGNESIUM CATION,INDIRECT,N0000000065
1426874,ioflupane I-123,PIN,3MM99T8R5Q,IOFLUPANE I-123,INDIRECT,N0000000065
1427224,florbetapir F-18,PIN,6W15Z5R0RU,FLORBETAPIR F-18,INDIRECT,N0000000065
1431726,technetium Tc 99m exametazime,PIN,3B744AG22N,TECHNETIUM TC-99M EXAMETAZIME,INDIRECT,N0000000065
1482913,technetium Tc 99m sestamibi,PIN,971Z4W1S09,TECHNETIUM TC-99M SESTAMIBI,INDIRECT,N0000000065
1486025,flutemetamol F-18,PIN,L49M066S0O,FLUTEMETAMOL F-18,INDIRECT,N0000000065
1488368,technetium Tc-99m pyrophosphate,PIN,5L76I61H2B,TECHNETIUM TC-99M PYROPHOSPHATE,INDIRECT,N0000000065
1488818,technetium Tc 99m medronate,PIN,X89XV46R07,TECHNETIUM TC-99M MEDRONATE,INDIRECT,N0000000065
1492940,florbetaben f-18,PIN,TLA7312TOI,FLORBETABEN F-18,INDIRECT,N0000000065
1512,betaine,IN,3SCV180C9W,BETAINE,INDIRECT,N0000000065
1545987,amifostine anhydrous,PIN,ILA426L95O,AMIFOSTINE ANHYDROUS,INDIRECT,N0000000065
1545988,cyclophosphamide anhydrous,PIN,6UXW23996M,CYCLOPHOSPHAMIDE ANHYDROUS,INDIRECT,N0000000065
1546223,diatrizoic acid,IN,5UVC90J1LK,DIATRIZOIC ACID,INDIRECT,N0000000065
1546272,manganese cation (2+),IN,H6EP7W5457,MANGANESE CATION (2+),INDIRECT,N0000000065
1546273,fluoride ion F-18,PIN,4M4WE5N2GE,FLUORIDE ION F-18,INDIRECT,N0000000065
1546357,ferric cation,IN,91O4LML611,FERRIC CATION,INDIRECT,N0000000065
1546370,thallous cation Tl-201,PIN,4877X14G4C,THALLOUS CATION TL-201,INDIRECT,N0000000065
1546414,methylene blue cation,PIN,ZMZ79891ZH,METHYLENE BLUE CATION,INDIRECT,N0000000065
1546415,iodide ion I-131,PIN,4GC1FOQ22U,IODIDE ION I-131,INDIRECT,N0000000065
1546429,gadolinium cation (3+),IN,AZV954TZ9N,GADOLINIUM CATION (3+),INDIRECT,N0000000065
1546434,82 rubidium,PIN,550Z839889,RUBIDIUM CATION RB-82,INDIRECT,N0000000065
1546443,lanthanum cation (3+),IN,O7FU5X12W5,LANTHANUM CATION (3+),INDIRECT,N0000000065
1546447,4-phenylbutyric acid,PIN,7WY7YBI87E,PHENYLBUTYRIC ACID,INDIRECT,N0000000065
1546451,iothalamic acid,IN,16CHD79MIX,IOTHALAMIC ACID,INDIRECT,N0000000065
1546452,iothalamic acid I-125,PIN,2XLB86RCW8,IOTHALAMIC ACID I-125,INDIRECT,N0000000065
1599276,sulfur hexafluoride,IN,WS7LR3I1D6,SULFUR HEXAFLUORIDE,INDIRECT,N0000000065
1716203,patiromer,IN,1FQ2RY5YHH,PATIROMER,INDIRECT,N0000000065
1716278,trabectedin,IN,ID0YZQ2TCP,TRABECTEDIN,INDIRECT,N0000000065
1724429,indium In-111 pentetreotide,PIN,M312JJ6Z32,INDIUM IN-111 PENTETREOTIDE,INDIRECT,N0000000065
1726081,trypan blue free acid,IN,768N7QO4KH,TRYPAN BLUE FREE ACID,INDIRECT,N0000000065
1745075,radium Ra-223 cation,PIN,9H414A99MD,RADIUM RA-223 CATION,INDIRECT,N0000000065
1796118,fluciclovine F-18,PIN,38R1Q0L1ZE,FLUCICLOVINE F-18,INDIRECT,N0000000065
1811461,hydroxypropyl cellulose (type H),IN,RFW2ET671P,HYDROXYPROPYL CELLULOSE (1600000 WAMW),INDIRECT,N0000000065
1828,busulfan,IN,G1LN9045DK,BUSULFAN,INDIRECT,N0000000065
1895,calcium,IN,SY7Q814VUP,CALCIUM,INDIRECT,N0000000065
18989,benzoic acid,PIN,8SKN0B0MIM,BENZOIC ACID,INDIRECT,N0000000065
197,acetylcysteine,IN,WYQ7N0BPYC,ACETYLCYSTEINE,INDIRECT,N0000000065
2034,carbon dioxide,IN,142M471B3J,CARBON DIOXIDE,INDIRECT,N0000000065
2048727,hydroxypropyl cellulose (1600000 WAMW),IN,RFW2ET671P,HYDROXYPROPYL CELLULOSE (1600000 WAMW),INDIRECT,N0000000065
2053281,iobenguane I-131,PIN,Q461L7AK4R,IOBENGUANE I-131,INDIRECT,N0000000065
2105,carmustine,IN,U68WG3173Y,CARMUSTINE,INDIRECT,N0000000065
214824,sevelamer,IN,941N5DUU5C,SEVELAMER,INDIRECT,N0000000065
2197842,baloxavir,IN,4G86Y4JT3F,BALOXAVIR,INDIRECT,N0000000065
221147,polyethylene glycol 3350,IN,G2M7P15E5P,POLYETHYLENE GLYCOL 3350,INDIRECT,N0000000065
221946,"citric acid, anhydrous",PIN,XF417D3PSL,ANHYDROUS CITRIC ACID,INDIRECT,N0000000065
2280602,strontium cation Sr-89,PIN,06A33308KH,STRONTIUM CATION SR-89,INDIRECT,N0000000065
23066,dihematoporphyrin ether,IN,M15H03K69B,PORFIMER,INDIRECT,N0000000065
232539,calfactant,IN,Q4K217VGA9,CALFACTANT,INDIRECT,N0000000065
2346,chlorambucil,IN,18D0SL7309,CHLORAMBUCIL,INDIRECT,N0000000065
236381,poractant alfa,IN,KE3U2023NP,PORACTANT ALFA,INDIRECT,N0000000065
24457,ethanolamine,IN,5KV86114PT,MONOETHANOLAMINE,INDIRECT,N0000000065
2447,cholestyramine resin,IN,4B33BGI082,CHOLESTYRAMINE,INDIRECT,N0000000065
