ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000000003,N0000000003,0,0
N0000000003,N0000000008,1,1
N0000000003,N0000000009,2,2
N0000000003,N0000000010,3,3
N0000000003,N0000000011,3,3
N0000000003,N0000000012,2,2
N0000000003,N0000000013,3,3
N0000000003,N0000000014,3,3
N0000000003,N0000000015,2,2
N0000000003,N0000000016,2,2
N0000000003,N0000000017,2,2
N0000000003,N0000000018,1,1
N0000000003,N0000000019,2,2
N0000000003,N0000000020,2,2
N0000000003,N0000000021,2,2
N0000000003,N0000000022,1,1
N0000000003,N0000000023,2,2
N0000000003,N0000000024,3,3
N0000000003,N0000000025,4,4
N0000000003,N0000000026,4,4
N0000000003,N0000000027,4,4
N0000000003,N0000000028,4,4
N0000000003,N0000000029,4,4
N0000000003,N0000000030,3,3
N0000000003,N0000000031,4,4
N0000000003,N0000000032,4,4
N0000000003,N0000000033,4,4
N0000000003,N0000000034,4,4
N0000000003,N0000000035,4,4
N0000000003,N0000000036,4,4
N0000000003,N0000000037,4,4
N0000000003,N0000000038,4,4
N0000000003,N0000000039,4,4
N0000000003,N0000000040,4,4
N0000000003,N0000000041,2,2
N0000000003,N0000000042,3,3
N0000000003,N0000000043,3,3
N0000000003,N0000000044,3,3
N0000000003,N0000000045,3,3
N0000000003,N0000000046,3,3
N0000000003,N0000000047,3,3
N0000000003,N0000000048,4,4
N0000000003,N0000000049,4,4
N0000000003,N0000000050,4,4
N0000000003,N0000000051,4,4
N0000000003,N0000000052,4,4
N0000000003,N0000000053,4,4
N0000000003,N0000000054,4,4
N0000000003,N0000000055,1,1
N0000000003,N0000000056,2,2
N0000000003,N0000000057,3,3
N0000000003,N0000000058,3,3
N0000000003,N0000000059,2,2
N0000000003,N0000000060,3,3
N0000000003,N0000000061,3,3
N0000000003,N0000000062,3,3
N0000000003,N0000000063,2,2
N0000000003,N0000000064,2,2
N0000000003,N0000008289,4,4
N0000000008,N0000000008,0,0
N0000000008,N0000000009,1,1
N0000000008,N0000000010,2,2
N0000000008,N0000000011,2,2
N0000000008,N0000000012,1,1
N0000000008,N0000000013,2,2
N0000000008,N0000000014,2,2
N0000000008,N0000000015,1,1
N0000000008,N0000000016,1,1
N0000000008,N0000000017,1,1
N0000000009,N0000000009,0,0
N0000000009,N0000000010,1,1
N0000000009,N0000000011,1,1
N0000000010,N0000000010,0,0
N0000000011,N0000000011,0,0
N0000000012,N0000000012,0,0
N0000000012,N0000000013,1,1
N0000000012,N0000000014,1,1
N0000000013,N0000000013,0,0
N0000000014,N0000000014,0,0
N0000000015,N0000000015,0,0
N0000000016,N0000000016,0,0
