ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
AA000,AA000,0,0
AD000,AD000,0,0
AH000,AH000,0,0
AM000,AM000,0,0
AN000,AN000,0,0
AP000,AP000,0,0
AS000,AS000,0,0
AU000,AU000,0,0
BL000,BL000,0,0
CN000,CN000,0,0
CV000,CV000,0,0
DE000,DE000,0,0
DX000,DX000,0,0
GA000,GA000,0,0
GU000,GU000,0,0
HA000,HA000,0,0
HS000,HS000,0,0
IM000,IM000,0,0
IN000,IN000,0,0
IP000,IP000,0,0
IR000,IR000,0,0
MS000,MS000,0,0
NT000,NT000,0,0
OP000,OP000,0,0
OR000,OR000,0,0
OT000,OT000,0,0
PH000,PH000,0,0
RE000,RE000,0,0
RS000,RS000,0,0
TN000,TN000,0,0
VA000,AA000,1,1
VA000,AD000,1,1
VA000,AH000,1,1
VA000,AM000,1,1
VA000,AN000,1,1
VA000,AP000,1,1
VA000,AS000,1,1
VA000,AU000,1,1
VA000,BL000,1,1
VA000,CN000,1,1
VA000,CV000,1,1
VA000,DE000,1,1
VA000,DX000,1,1
VA000,GA000,1,1
VA000,GU000,1,1
VA000,HA000,1,1
VA000,HS000,1,1
VA000,IM000,1,1
VA000,IN000,1,1
VA000,IP000,1,1
VA000,IR000,1,1
VA000,MS000,1,1
VA000,NT000,1,1
VA000,OP000,1,1
VA000,OR000,1,1
VA000,OT000,1,1
VA000,PH000,1,1
VA000,RE000,1,1
VA000,RS000,1,1
VA000,TN000,1,1
VA000,VA000,0,0
VA000,VT000,1,1
VA000,XX000,1,1
VT000,VT000,0,0
XX000,XX000,0,0
