concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
N0000175413,Platinum-based Drug,EPC,Leaf,C,MEDRT
N0000175414,Anthracycline Topoisomerase Inhibitor,EPC,Leaf,C,MEDRT
N0000175415,Nitrate Vasodilator,EPC,Leaf,C,MEDRT
N0000175416,Prostacycline Vasodilator,EPC,Leaf,C,MEDRT
N0000175418,Potassium-sparing Diuretic,EPC,Leaf,C,MEDRT
N0000175419,Thiazide Diuretic,EPC,Leaf,C,MEDRT
N0000175420,Thiazide-like Diuretic,EPC,Leaf,C,MEDRT
N0000175421,Dihydropyridine Calcium Channel Blocker,EPC,Leaf,C,MEDRT
N0000175423,Sympathomimetic Amine Anorectic,EPC,Leaf,C,MEDRT
N0000175425,Amphetamine Anorectic,EPC,Leaf,C,MEDRT
N0000175426,Antiarrhythmic,EPC,Leaf,C,MEDRT
N0000175427,Anti-anginal,EPC,Leaf,C,MEDRT
N0000175428,Glinide,EPC,Leaf,C,MEDRT
N0000175429,Antidote,EPC,SubClass,C,MEDRT
N0000175430,Atypical Antipsychotic,EPC,Leaf,C,MEDRT
N0000175431,Macrolide Antibacterial,EPC,Leaf,C,MEDRT
N0000175432,Quinolone Antibacterial,EPC,SubClass,C,MEDRT
N0000175434,Pleuromutilin Antibacterial,EPC,Leaf,C,MEDRT
N0000175435,Nitroimidazole Antimicrobial,EPC,Leaf,C,MEDRT
N0000175443,Lincosamide Antibacterial,EPC,Leaf,C,MEDRT
N0000175453,Insulin Analog,EPC,Leaf,C,MEDRT
N0000175454,Prostaglandin Analog,EPC,Leaf,C,MEDRT
N0000175457,Calcineurin Inhibitor Immunosuppressant,EPC,Leaf,C,MEDRT
N0000175461,Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor,EPC,Leaf,C,MEDRT
N0000175462,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,EPC,Leaf,C,MEDRT
N0000175463,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,EPC,Leaf,C,MEDRT
