concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
21232,PE,Mapped from,DAILYMED,NA,BO76JF850N,PE
232539,PE,Mapped from,DAILYMED,NA,Q4K217VGA9,PE
236381,PE,Mapped from,DAILYMED,NA,KE3U2023NP,PE
5470,PE,Mapped from,DAILYMED,NA,26NAK24LS8,PE
598,PE,Mapped from,DAILYMED,NA,F5TD010360,PE
6984,PE,Mapped from,DAILYMED,NA,5965120SH1,PE
1363352,PE,Mapped from,DAILYMED,NA,1GVO236S58,PE
3272,PE,Mapped from,DAILYMED,NA,K3R6ZDH4DU,PE
3274,PE,Mapped from,DAILYMED,NA,7SA290YK68,PE
3275,PE,Mapped from,DAILYMED,NA,JY83SHX053,PE
5531,PE,Mapped from,DAILYMED,NA,875Y4127EA,PE
828529,PE,Mapped from,DAILYMED,NA,ZIF514RVZR,PE
4832,PE,Mapped from,DAILYMED,NA,76LA80IG2G,PE
9947,PE,Mapped from,DAILYMED,NA,A6D97U294I,PE
1091643,PE,Mapped from,DAILYMED,NA,F9NUX55P23,PE
1489913,PE,Mapped from,DAILYMED,NA,J7A92W69L7,PE
1545989,PE,Mapped from,DAILYMED,NA,Q508Q118JM,PE
1546196,PE,Mapped from,DAILYMED,NA,JRM708L703,PE
18867,PE,Mapped from,DAILYMED,NA,UDM7Q7QWP8,PE
1999003,PE,Mapped from,DAILYMED,NA,M089EFU921,PE
24457,PE,Mapped from,DAILYMED,NA,5KV86114PT,PE
28004,PE,Mapped from,DAILYMED,NA,LX1OH63030,PE
343048,PE,Mapped from,DAILYMED,NA,RUM6K67ESG,PE
3827,PE,Mapped from,DAILYMED,NA,69PN84IO1A,PE
4917,PE,Mapped from,DAILYMED,NA,G59M7S0WS3,PE
6058,PE,Mapped from,DAILYMED,NA,IA7306519N,PE
7435,PE,Mapped from,DAILYMED,NA,4I8HAB65SZ,PE
7442,PE,Mapped from,DAILYMED,NA,31C4KY9ESH,PE
7476,PE,Mapped from,DAILYMED,NA,169D1260KM,PE
7812,PE,Mapped from,DAILYMED,NA,8VLN5B44ZY,PE
809864,PE,Mapped from,DAILYMED,NA,6KIC4BB60G,PE
