ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000000065,N0000000065,0,0
N0000000065,N0000000075,2,2
N0000000065,N0000000079,1,1
N0000000065,N0000000087,2,2
N0000000065,N0000000120,1,1
N0000000065,N0000000144,4,4
N0000000065,N0000000170,3,3
N0000000065,N0000000205,1,1
N0000000065,N0000000220,1,1
N0000000065,N0000000226,1,1
N0000000065,N0000000236,1,1
N0000000065,N0000009983,1,1
N0000000065,N0000009986,2,2
N0000000065,N0000010217,1,1
N0000000065,N0000010218,2,2
N0000000065,N0000010219,2,2
N0000000065,N0000010257,1,1
N0000000065,N0000010258,2,2
N0000000065,N0000010259,2,2
N0000000065,N0000010288,1,1
N0000000065,N0000020024,1,1
N0000000065,N0000020074,3,3
N0000000065,N0000020075,4,4
N0000000065,N0000020076,4,4
N0000000065,N0000175089,4,4
N0000000065,N0000175355,1,1
N0000000065,N0000175356,2,2
N0000000065,N0000175357,3,3
N0000000065,N0000175365,2,2
N0000000065,N0000175472,3,3
N0000000065,N0000175532,1,1
N0000000065,N0000175533,1,1
N0000000065,N0000175534,1,1
N0000000065,N0000175545,1,1
N0000000065,N0000175546,2,2
N0000000065,N0000175547,2,2
N0000000065,N0000175548,3,3
N0000000065,N0000175549,4,4
N0000000065,N0000175804,1,1
N0000000065,N0000175806,2,2
N0000000065,N0000175833,2,2
N0000000065,N0000175834,3,3
N0000000065,N0000175862,2,2
N0000000065,N0000175868,2,2
N0000000065,N0000175869,2,2
N0000000065,N0000175962,4,4
N0000000065,N0000175981,2,2
N0000000065,N0000178377,2,2
N0000000065,N0000181001,5,5
N0000000065,N0000181010,1,1
N0000000065,N0000184150,2,2
N0000000065,N0000187052,2,2
N0000000065,N0000193981,2,2
N0000000067,N0000000067,0,0
N0000000067,N0000020006,1,1
N0000000067,N0000020008,2,2
N0000000067,N0000020010,2,2
N0000000067,N0000020012,2,2
N0000000068,N0000000068,0,0
N0000000068,N0000000136,1,1
N0000000068,N0000000158,1,1
N0000000069,N0000000069,0,0
N0000000069,N0000020065,1,1
N0000000069,N0000020066,1,1
N0000000069,N0000020067,1,1
N0000000069,N0000020069,1,1
N0000000070,N0000000070,0,0
N0000000070,N0000180999,1,1
N0000000071,N0000000071,0,0
N0000000073,N0000000073,0,0
N0000000074,N0000000074,0,0
N0000000075,N0000000075,0,0
N0000000076,N0000000076,0,0
N0000000076,N0000000101,1,1
N0000000076,N0000000169,1,1
N0000000076,N0000000181,1,1
N0000000076,N0000000195,1,1
N0000000076,N0000000197,2,2
N0000000076,N0000000246,1,1
N0000000076,N0000009963,2,2
N0000000076,N0000010263,2,2
N0000000076,N0000010264,2,2
N0000000076,N0000175075,1,1
N0000000076,N0000175912,1,1
N0000000076,N0000182638,2,2
N0000000076,N0000184151,2,2
N0000000076,N0000191725,1,1
N0000000076,N0000191726,2,2
N0000000076,N0000191727,3,3
N0000000076,N0000191729,1,1
N0000000076,N0000191730,2,2
N0000000077,N0000000077,0,0
N0000000077,N0000000217,1,1
N0000000078,N0000000078,0,0
N0000000079,N0000000079,0,0
N0000000080,N0000000080,0,0
N0000000081,N0000000081,0,0
N0000000082,N0000000082,0,0
N0000000082,N0000000086,2,2
N0000000082,N0000000135,2,2
N0000000082,N0000000157,2,2
N0000000082,N0000000192,1,1
N0000000082,N0000000247,1,1
N0000000082,N0000009949,2,2
N0000000082,N0000010226,1,1
N0000000082,N0000020023,3,3
N0000000082,N0000175077,3,4
N0000000082,N0000175078,4,4
N0000000082,N0000175079,4,4
N0000000082,N0000175441,2,2
N0000000082,N0000175617,3,4
N0000000082,N0000175621,3,3
N0000000082,N0000175792,3,3
N0000000082,N0000175856,3,4
N0000000082,N0000175857,4,4
N0000000082,N0000175974,2,2
N0000000082,N0000175985,2,2
N0000000082,N0000178291,4,4
N0000000082,N0000182150,4,4
N0000000082,N0000182151,4,4
N0000000082,N0000182634,4,4
N0000000082,N0000182636,4,4
N0000000082,N0000182966,4,4
N0000000082,N0000184008,2,2
N0000000082,N0000184009,3,3
N0000000082,N0000184010,3,3
N0000000082,N0000184011,3,3
N0000000082,N0000184012,3,3
N0000000082,N0000184141,4,4
N0000000082,N0000191002,3,3
N0000000082,N0000191003,4,4
N0000000082,N0000191004,2,2
N0000000082,N0000191005,3,3
N0000000082,N0000191259,3,4
N0000000082,N0000191422,4,4
N0000000082,N0000191494,2,2
N0000000082,N0000191496,4,4
N0000000082,N0000191498,3,3
N0000000082,N0000191499,4,4
N0000000082,N0000191501,2,2
N0000000082,N0000191502,2,2
N0000000082,N0000191871,2,2
N0000000082,N0000192335,4,4
N0000000082,N0000192337,4,4
N0000000082,N0000192702,4,4
N0000000082,N0000192796,2,2
N0000000082,N0000192798,2,2
N0000000082,N0000193336,4,4
N0000000082,N0000193337,2,2
N0000000082,N0000193339,3,3
N0000000082,N0000193542,2,2
N0000000082,N0000193544,2,2
N0000000082,N0000193616,4,4
N0000000082,N0000193802,3,3
N0000000082,N0000193805,4,4
N0000000082,N0000193855,3,3
N0000000082,N0000193950,2,2
N0000000083,N0000000083,0,0
N0000000084,N0000000084,0,0
N0000000084,N0000000115,1,1
N0000000084,N0000000145,1,1
N0000000084,N0000000243,1,1
N0000000084,N0000011319,2,2
N0000000085,N0000000067,2,2
N0000000085,N0000000068,2,2
N0000000085,N0000000069,3,3
N0000000085,N0000000070,2,2
N0000000085,N0000000071,3,3
N0000000085,N0000000073,4,4
N0000000085,N0000000074,4,4
N0000000085,N0000000077,2,2
N0000000085,N0000000078,3,3
N0000000085,N0000000081,2,2
N0000000085,N0000000083,3,3
N0000000085,N0000000084,5,5
N0000000085,N0000000085,0,0
N0000000085,N0000000090,4,4
N0000000085,N0000000092,3,3
N0000000085,N0000000093,2,2
N0000000085,N0000000094,6,6
N0000000085,N0000000095,3,3
N0000000085,N0000000097,2,2
N0000000085,N0000000099,4,4
N0000000085,N0000000100,6,6
N0000000085,N0000000102,3,4
N0000000085,N0000000104,3,3
N0000000085,N0000000105,1,1
N0000000085,N0000000106,3,3
N0000000085,N0000000108,3,3
N0000000085,N0000000109,3,4
N0000000085,N0000000110,5,5
N0000000085,N0000000112,3,3
N0000000085,N0000000114,3,4
N0000000085,N0000000115,6,6
N0000000085,N0000000116,3,3
N0000000085,N0000000117,3,3
N0000000085,N0000000118,4,4
N0000000085,N0000000119,4,4
N0000000085,N0000000122,3,3
N0000000085,N0000000123,2,2
N0000000085,N0000000124,2,2
N0000000085,N0000000125,3,3
N0000000085,N0000000130,3,3
N0000000085,N0000000131,2,2
N0000000085,N0000000132,3,3
N0000000085,N0000000136,3,3
N0000000085,N0000000137,2,2
N0000000085,N0000000138,3,3
N0000000085,N0000000139,5,5
N0000000085,N0000000140,2,2
N0000000085,N0000000141,2,2
N0000000085,N0000000143,3,4
N0000000085,N0000000145,6,6
N0000000085,N0000000146,6,6
N0000000085,N0000000147,4,4
N0000000085,N0000000149,3,3
N0000000085,N0000000151,4,4
N0000000085,N0000000152,1,1
N0000000085,N0000000153,2,2
N0000000085,N0000000154,3,3
N0000000085,N0000000156,2,2
N0000000085,N0000000158,3,3
N0000000085,N0000000159,6,6
N0000000085,N0000000161,4,4
N0000000085,N0000000162,4,4
N0000000085,N0000000165,3,3
N0000000085,N0000000167,2,3
N0000000085,N0000000168,5,5
N0000000085,N0000000172,4,4
N0000000085,N0000000174,3,3
N0000000085,N0000000175,1,1
N0000000085,N0000000180,2,2
N0000000085,N0000000182,4,4
N0000000085,N0000000185,6,6
N0000000085,N0000000186,5,5
N0000000085,N0000000188,4,4
N0000000085,N0000000189,2,2
N0000000085,N0000000190,4,4
N0000000085,N0000000193,1,1
N0000000085,N0000000194,3,3
N0000000085,N0000000196,4,4
N0000000085,N0000000198,2,2
N0000000085,N0000000199,2,3
N0000000085,N0000000200,2,2
N0000000085,N0000000203,2,2
N0000000085,N0000000204,2,2
N0000000085,N0000000207,3,3
N0000000085,N0000000209,4,4
N0000000085,N0000000211,2,2
N0000000085,N0000000213,1,1
N0000000085,N0000000214,5,5
N0000000085,N0000000215,1,1
N0000000085,N0000000216,2,2
N0000000085,N0000000217,3,3
N0000000085,N0000000218,2,2
N0000000085,N0000000219,2,3
N0000000085,N0000000221,3,3
N0000000085,N0000000222,4,4
N0000000085,N0000000224,3,3
N0000000085,N0000000225,3,3
N0000000085,N0000000227,3,4
N0000000085,N0000000229,3,3
N0000000085,N0000000230,3,3
N0000000085,N0000000234,2,3
N0000000085,N0000000237,4,4
N0000000085,N0000000238,3,3
N0000000085,N0000000239,2,2
N0000000085,N0000000240,2,2
N0000000085,N0000000242,1,1
N0000000085,N0000000243,6,6
N0000000085,N0000000244,3,3
N0000000085,N0000000245,4,4
N0000000085,N0000000249,3,3
N0000000085,N0000000250,3,3
N0000000085,N0000000251,3,3
N0000000085,N0000000255,3,3
N0000000085,N0000000256,3,3
N0000000085,N0000000257,2,2
N0000000085,N0000000259,3,3
N0000000085,N0000009917,5,5
N0000000085,N0000009918,5,5
N0000000085,N0000009919,5,5
N0000000085,N0000009920,5,5
N0000000085,N0000009921,5,5
N0000000085,N0000009922,5,5
N0000000085,N0000009923,5,5
N0000000085,N0000009924,5,5
N0000000085,N0000009949,1,1
N0000000085,N0000009950,2,2
N0000000085,N0000009953,2,2
N0000000085,N0000009954,1,1
N0000000085,N0000009955,2,2
N0000000085,N0000010261,2,2
N0000000085,N0000010262,3,3
N0000000085,N0000010266,4,4
N0000000085,N0000010267,4,4
N0000000085,N0000010275,2,2
N0000000085,N0000010278,2,2
N0000000085,N0000010279,3,3
N0000000085,N0000010280,3,3
N0000000085,N0000010281,2,2
N0000000085,N0000011310,6,6
N0000000085,N0000011319,7,7
N0000000085,N0000019992,2,2
N0000000085,N0000019993,3,3
N0000000085,N0000019994,3,3
N0000000085,N0000020006,3,3
N0000000085,N0000020008,4,4
N0000000085,N0000020010,4,4
N0000000085,N0000020012,4,4
N0000000085,N0000020014,4,4
N0000000085,N0000020015,5,5
