classId1,rela,classId2
N0000175413,isa,N0000193894
N0000175413,isa,N0000193906
N0000193894,isa,N0000189939
N0000193906,isa,N0000189939
N0000175414,isa,N0000175609
N0000175609,isa,N0000193907
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175415,isa,N0000175940
N0000175415,isa,N0000193894
N0000175940,isa,N0000193893
N0000193893,isa,N0000189939
N0000193894,isa,N0000189939
N0000175416,isa,N0000175603
N0000175603,isa,N0000175940
N0000175603,isa,N0000193894
N0000175940,isa,N0000193893
N0000193893,isa,N0000189939
N0000193894,isa,N0000189939
N0000175418,isa,N0000193873
N0000175418,isa,N0000193904
N0000193873,isa,N0000189939
N0000193904,isa,N0000189939
N0000175419,isa,N0000193873
N0000175419,isa,N0000193894
N0000193873,isa,N0000189939
N0000193894,isa,N0000189939
N0000175420,isa,N0000193873
N0000193873,isa,N0000189939
N0000175421,isa,N0000193892
N0000193892,isa,N0000193893
N0000193892,isa,N0000193904
N0000193893,isa,N0000189939
N0000193904,isa,N0000189939
N0000175423,isa,N0000193894
N0000175423,isa,N0000193910
N0000193894,isa,N0000189939
N0000193905,isa,N0000189939
N0000193910,isa,N0000193905
N0000175425,isa,N0000193894
N0000175425,isa,N0000193910
N0000193894,isa,N0000189939
N0000193905,isa,N0000189939
N0000193910,isa,N0000193905
N0000175426,isa,N0000193893
N0000193893,isa,N0000189939
N0000175427,isa,N0000193893
N0000193893,isa,N0000189939
N0000175428,isa,N0000193894
N0000193894,isa,N0000189939
N0000175429,isa,N0000189939
N0000175430,isa,N0000193905
N0000193905,isa,N0000189939
N0000175431,isa,N0000175877
N0000175431,isa,N0000193880
N0000175877,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175432,isa,N0000193880
N0000175432,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175434,isa,N0000193880
N0000175434,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175435,isa,N0000193882
N0000175435,isa,N0000193894
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175443,isa,N0000193880
N0000175443,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175429,isa,N0000189939
N0000175453,isa,N0000175429
N0000175453,isa,N0000193874
N0000175453,isa,N0000193891
N0000175453,isa,N0000193894
N0000193874,isa,N0000189939
N0000193891,isa,N0000189939
N0000193894,isa,N0000189939
N0000175454,isa,N0000193874
N0000175454,isa,N0000193894
N0000193874,isa,N0000189939
N0000193894,isa,N0000189939
N0000175457,isa,N0000193897
N0000175457,isa,N0000193902
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193902,isa,N0000189939
N0000175461,isa,N0000175466
N0000175461,isa,N0000193907
N0000175466,isa,N0000193883
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175462,isa,N0000175466
N0000175462,isa,N0000193907
N0000175466,isa,N0000193883
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175463,isa,N0000193883
N0000175463,isa,N0000193907
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175466,isa,N0000193883
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000175467,isa,N0000193881
N0000193879,isa,N0000189939
N0000193881,isa,N0000193882
N0000193882,isa,N0000193879
N0000175466,isa,N0000193883
N0000175468,isa,N0000175466
N0000175468,isa,N0000193907
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175470,isa,N0000193883
N0000175470,isa,N0000193907
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175473,isa,N0000193908
N0000193908,isa,N0000189939
N0000175474,isa,N0000193894
N0000175474,isa,N0000193901
N0000193894,isa,N0000189939
N0000193901,isa,N0000189939
N0000175476,isa,N0000193897
N0000175476,isa,N0000193901
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193901,isa,N0000189939
N0000175477,isa,N0000193880
N0000175477,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175480,isa,N0000193880
N0000175480,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175481,isa,N0000175484
N0000175484,isa,N0000193882
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000175482,isa,N0000175485
N0000175485,isa,N0000193882
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000175483,isa,N0000193880
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000175484,isa,N0000193882
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000175485,isa,N0000193882
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000175486,isa,N0000193879
N0000193879,isa,N0000189939
N0000175487,isa,N0000193881
N0000175487,isa,N0000193894
N0000193879,isa,N0000189939
N0000193881,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175488,isa,N0000193880
N0000175488,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175489,isa,N0000193880
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000175491,isa,N0000193880
N0000175491,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175492,isa,N0000193880
N0000175492,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175493,isa,N0000193880
N0000175493,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175494,isa,N0000193880
N0000175494,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175495,isa,N0000193880
N0000175495,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175496,isa,N0000193880
N0000175496,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175497,isa,N0000193880
N0000175497,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175498,isa,N0000193881
N0000175498,isa,N0000193894
N0000193879,isa,N0000189939
N0000193881,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175499,isa,N0000193880
N0000175499,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175500,isa,N0000193880
N0000175500,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175483,isa,N0000193880
N0000175501,isa,N0000175483
N0000175501,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175502,isa,N0000193880
N0000175502,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175503,isa,N0000175504
N0000175503,isa,N0000193880
N0000175504,isa,N0000193882
N0000175504,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175504,isa,N0000193882
N0000175504,isa,N0000193894
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175505,isa,N0000175882
N0000175505,isa,N0000193882
N0000175882,isa,N0000193894
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175507,isa,N0000193881
N0000175507,isa,N0000193894
N0000193879,isa,N0000189939
N0000193881,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175509,isa,N0000193880
N0000175509,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175510,isa,N0000193881
N0000175510,isa,N0000193894
N0000193879,isa,N0000189939
N0000193881,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175511,isa,N0000193880
N0000175511,isa,N0000193894
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193894,isa,N0000189939
N0000175514,isa,N0000193897
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175515,isa,N0000193880
N0000175515,isa,N0000193907
N0000193879,isa,N0000189939
N0000193880,isa,N0000193882
N0000193882,isa,N0000193879
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193906,isa,N0000189939
N0000193907,isa,N0000193897
N0000193907,isa,N0000193906
N0000175517,isa,N0000193897
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175518,isa,N0000175889
N0000175518,isa,N0000193901
N0000175889,isa,N0000193883
N0000175889,isa,N0000193897
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000193901,isa,N0000189939
N0000175519,isa,N0000193887
N0000193887,isa,N0000193888
N0000193888,isa,N0000189939
N0000175521,isa,N0000193894
N0000175521,isa,N0000193902
N0000193894,isa,N0000189939
N0000193902,isa,N0000189939
N0000175473,isa,N0000193908
N0000175522,isa,N0000175473
N0000193908,isa,N0000189939
N0000175524,isa,N0000193883
N0000175524,isa,N0000193897
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175525,isa,N0000193900
N0000175525,isa,N0000193904
N0000193900,isa,N0000189939
N0000193904,isa,N0000189939
N0000175526,isa,N0000193901
N0000193901,isa,N0000189939
N0000175530,isa,N0000193908
N0000193908,isa,N0000189939
N0000175531,isa,N0000193884
N0000193884,isa,N0000189939
N0000175535,isa,N0000193908
N0000193908,isa,N0000189939
N0000175536,isa,N0000193875
N0000175536,isa,N0000193895
N0000175536,isa,N0000193908
N0000193875,isa,N0000189939
N0000193895,isa,N0000189939
N0000193908,isa,N0000189939
N0000175539,isa,N0000193878
N0000193878,isa,N0000189939
N0000175540,isa,N0000193908
N0000193908,isa,N0000189939
N0000175541,isa,N0000193894
N0000175541,isa,N0000193902
N0000193894,isa,N0000189939
N0000193902,isa,N0000189939
N0000175543,isa,N0000193883
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000175552,isa,N0000175883
N0000175883,isa,N0000193886
N0000175883,isa,N0000193910
N0000193886,isa,N0000193888
N0000193888,isa,N0000189939
N0000193905,isa,N0000189939
N0000193910,isa,N0000193905
N0000175553,isa,N0000193887
N0000175553,isa,N0000193905
N0000193887,isa,N0000193888
N0000193888,isa,N0000189939
N0000193905,isa,N0000189939
N0000175552,isa,N0000175883
N0000175554,isa,N0000175552
N0000175883,isa,N0000193886
N0000175883,isa,N0000193910
N0000193886,isa,N0000193888
N0000193888,isa,N0000189939
N0000193905,isa,N0000189939
N0000193910,isa,N0000193905
N0000175555,isa,N0000175883
N0000175883,isa,N0000193886
N0000175883,isa,N0000193910
N0000193886,isa,N0000193888
N0000193888,isa,N0000189939
N0000193905,isa,N0000189939
N0000193910,isa,N0000193905
N0000175556,isa,N0000193887
N0000175556,isa,N0000193893
N0000175556,isa,N0000193905
N0000193887,isa,N0000193888
N0000193888,isa,N0000189939
N0000193893,isa,N0000189939
N0000193905,isa,N0000189939
N0000175557,isa,N0000193887
N0000175557,isa,N0000193893
N0000193887,isa,N0000193888
N0000193888,isa,N0000189939
N0000193893,isa,N0000189939
N0000175558,isa,N0000193906
N0000175558,isa,N0000193908
N0000193906,isa,N0000189939
N0000193908,isa,N0000189939
N0000175559,isa,N0000193891
N0000175559,isa,N0000193897
N0000193891,isa,N0000189939
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175560,isa,N0000193887
N0000193887,isa,N0000193888
N0000193888,isa,N0000189939
N0000175561,isa,N0000193887
N0000175561,isa,N0000193893
N0000193887,isa,N0000193888
N0000193888,isa,N0000189939
N0000193893,isa,N0000189939
N0000175562,isa,N0000175889
N0000175562,isa,N0000193893
N0000175889,isa,N0000193883
N0000175889,isa,N0000193897
N0000193879,isa,N0000189939
N0000193882,isa,N0000193879
N0000193883,isa,N0000193882
N0000193893,isa,N0000189939
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175563,isa,N0000193897
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175564,isa,N0000175940
N0000175940,isa,N0000193893
N0000193893,isa,N0000189939
N0000175565,isa,N0000193891
N0000175565,isa,N0000193894
N0000193891,isa,N0000189939
N0000193894,isa,N0000189939
N0000175566,isa,N0000193892
N0000193892,isa,N0000193893
N0000193892,isa,N0000193904
N0000193893,isa,N0000189939
N0000193904,isa,N0000189939
N0000175473,isa,N0000193908
N0000175567,isa,N0000175473
N0000193908,isa,N0000189939
N0000175568,isa,N0000193893
N0000175568,isa,N0000193894
N0000193893,isa,N0000189939
N0000193894,isa,N0000189939
N0000175569,isa,N0000193897
N0000193897,isa,N0000193898
N0000193898,isa,N0000189939
N0000175570,isa,N0000193893
N0000175570,isa,N0000193894
N0000175570,isa,N0000193910
N0000193893,isa,N0000189939
N0000193894,isa,N0000189939
N0000193905,isa,N0000189939
N0000193910,isa,N0000193905
N0000175571,isa,N0000193872
N0000175571,isa,N0000193902
N0000193872,isa,N0000189939
N0000193902,isa,N0000189939
N0000175572,isa,N0000193883
