classId1,rela,classId2
N0000000065,isa,N0000000223
N0000000067,isa,N0000000213
N0000000085,isa,N0000000223
N0000000213,isa,N0000000085
N0000000068,isa,N0000000152
N0000000085,isa,N0000000223
N0000000152,isa,N0000000085
N0000000069,isa,N0000000140
N0000000085,isa,N0000000223
N0000000140,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000000070,isa,N0000000152
N0000000085,isa,N0000000223
N0000000152,isa,N0000000085
N0000000071,isa,N0000000240
N0000000085,isa,N0000000223
N0000000213,isa,N0000000085
N0000000240,isa,N0000000213
N0000000073,isa,N0000000244
N0000000085,isa,N0000000223
N0000000156,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000000244,isa,N0000000156
N0000000244,isa,N0000188380
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000074,isa,N0000000138
N0000000085,isa,N0000000223
N0000000138,isa,N0000000156
N0000000138,isa,N0000188380
N0000000156,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000065,isa,N0000000223
N0000000075,isa,N0000010288
N0000010288,isa,N0000000065
N0000000076,isa,N0000000133
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000077,isa,N0000000213
N0000000085,isa,N0000000223
N0000000213,isa,N0000000085
N0000000078,isa,N0000000156
N0000000085,isa,N0000000223
N0000000156,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000000065,isa,N0000000223
N0000000079,isa,N0000000065
N0000000080,isa,N0000000208
N0000000163,isa,N0000000223
N0000000208,isa,N0000000163
N0000000081,isa,N0000000213
N0000000085,isa,N0000000223
N0000000213,isa,N0000000085
N0000000082,isa,N0000000254
N0000000254,isa,N0000000223
N0000000083,isa,N0000000124
N0000000085,isa,N0000000223
N0000000124,isa,N0000000152
N0000000152,isa,N0000000085
N0000000084,isa,N0000000162
N0000000085,isa,N0000000223
N0000000162,isa,N0000000221
N0000000221,isa,N0000000257
N0000000242,isa,N0000000085
N0000000257,isa,N0000000242
N0000000085,isa,N0000000223
N0000000082,isa,N0000000254
N0000000086,isa,N0000000192
N0000000192,isa,N0000000082
N0000000254,isa,N0000000223
N0000000065,isa,N0000000223
N0000000087,isa,N0000175355
N0000175355,isa,N0000000065
N0000000089,isa,N0000000231
N0000000163,isa,N0000000223
N0000000231,isa,N0000000163
N0000000085,isa,N0000000223
N0000000090,isa,N0000000095
N0000000095,isa,N0000188380
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000085,isa,N0000000223
N0000000092,isa,N0000000153
N0000000152,isa,N0000000085
N0000000153,isa,N0000000152
N0000000085,isa,N0000000223
N0000000093,isa,N0000000213
N0000000213,isa,N0000000085
N0000000085,isa,N0000000223
N0000000094,isa,N0000175450
N0000000149,isa,N0000000257
N0000000182,isa,N0000000149
N0000000242,isa,N0000000085
N0000000257,isa,N0000000242
N0000175450,isa,N0000000182
N0000000085,isa,N0000000223
N0000000095,isa,N0000188380
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000085,isa,N0000000223
N0000000097,isa,N0000000152
N0000000097,isa,N0000175368
N0000000152,isa,N0000000085
N0000175368,isa,N0000000085
N0000000098,isa,N0000000233
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000233,isa,N0000000133
N0000000085,isa,N0000000223
N0000000092,isa,N0000000153
N0000000099,isa,N0000000092
N0000000152,isa,N0000000085
N0000000153,isa,N0000000152
N0000000085,isa,N0000000223
N0000000100,isa,N0000000214
N0000000149,isa,N0000000257
N0000000182,isa,N0000000149
N0000000214,isa,N0000000182
N0000000242,isa,N0000000085
N0000000257,isa,N0000000242
N0000000076,isa,N0000000133
N0000000101,isa,N0000000076
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000085,isa,N0000000223
N0000000102,isa,N0000000234
N0000000105,isa,N0000000085
N0000000105,isa,N0000188367
N0000000234,isa,N0000000105
N0000000234,isa,N0000188375
N0000188367,isa,N0000000223
N0000188370,isa,N0000000085
N0000188370,isa,N0000188367
N0000188375,isa,N0000188370
N0000000103,isa,N0000000233
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000233,isa,N0000000133
N0000000085,isa,N0000000223
N0000000097,isa,N0000000152
N0000000097,isa,N0000175368
N0000000104,isa,N0000000097
N0000000104,isa,N0000175369
N0000000152,isa,N0000000085
N0000175368,isa,N0000000085
N0000175369,isa,N0000175368
N0000000085,isa,N0000000223
N0000000105,isa,N0000000085
N0000000105,isa,N0000188367
N0000188367,isa,N0000000223
N0000000085,isa,N0000000223
N0000000106,isa,N0000000131
N0000000131,isa,N0000000152
N0000000152,isa,N0000000085
N0000000107,isa,N0000000133
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000085,isa,N0000000223
N0000000108,isa,N0000000131
N0000000131,isa,N0000000152
N0000000152,isa,N0000000085
N0000000085,isa,N0000000223
N0000000105,isa,N0000000085
N0000000105,isa,N0000188367
N0000000109,isa,N0000000167
N0000000167,isa,N0000000105
N0000000167,isa,N0000188375
N0000188367,isa,N0000000223
N0000188370,isa,N0000000085
N0000188370,isa,N0000188367
N0000188375,isa,N0000188370
N0000000085,isa,N0000000223
N0000000110,isa,N0000000162
N0000000162,isa,N0000000221
N0000000221,isa,N0000000257
N0000000242,isa,N0000000085
N0000000257,isa,N0000000242
N0000000111,isa,N0000000233
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000233,isa,N0000000133
N0000000085,isa,N0000000223
N0000000112,isa,N0000000216
N0000000152,isa,N0000000085
N0000000216,isa,N0000000152
N0000000085,isa,N0000000223
N0000000105,isa,N0000000085
N0000000105,isa,N0000188367
N0000000114,isa,N0000000219
N0000000219,isa,N0000000105
N0000000219,isa,N0000188375
N0000188367,isa,N0000000223
N0000188370,isa,N0000000085
N0000188370,isa,N0000188367
N0000188375,isa,N0000188370
N0000000084,isa,N0000000162
N0000000085,isa,N0000000223
N0000000115,isa,N0000000084
N0000000162,isa,N0000000221
N0000000221,isa,N0000000257
N0000000242,isa,N0000000085
N0000000257,isa,N0000000242
N0000000085,isa,N0000000223
N0000000116,isa,N0000000204
N0000000152,isa,N0000000085
N0000000204,isa,N0000000152
N0000000085,isa,N0000000223
N0000000117,isa,N0000000203
N0000000152,isa,N0000000085
N0000000203,isa,N0000000152
N0000000085,isa,N0000000223
N0000000118,isa,N0000000138
N0000000138,isa,N0000000156
N0000000138,isa,N0000188380
N0000000156,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000085,isa,N0000000223
N0000000119,isa,N0000000244
N0000000156,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000000244,isa,N0000000156
N0000000244,isa,N0000188380
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000065,isa,N0000000223
N0000000120,isa,N0000000065
N0000000121,isa,N0000175919
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000009956,isa,N0000000133
N0000175919,isa,N0000009956
N0000000085,isa,N0000000223
N0000000122,isa,N0000000153
N0000000152,isa,N0000000085
N0000000153,isa,N0000000152
N0000000085,isa,N0000000223
N0000000123,isa,N0000000152
N0000000152,isa,N0000000085
N0000000085,isa,N0000000223
N0000000124,isa,N0000000152
N0000000152,isa,N0000000085
N0000000085,isa,N0000000223
N0000000097,isa,N0000000152
N0000000097,isa,N0000175368
N0000000125,isa,N0000000097
N0000000125,isa,N0000175370
N0000000152,isa,N0000000085
N0000175368,isa,N0000000085
N0000175370,isa,N0000175368
N0000000126,isa,N0000175925
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000175920,isa,N0000000133
N0000175922,isa,N0000175920
N0000175925,isa,N0000175922
N0000000127,isa,N0000000258
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000258,isa,N0000000133
N0000000128,isa,N0000000133
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000085,isa,N0000000223
N0000000130,isa,N0000000198
N0000000152,isa,N0000000085
N0000000198,isa,N0000000152
N0000000085,isa,N0000000223
N0000000131,isa,N0000000152
N0000000152,isa,N0000000085
N0000000085,isa,N0000000223
N0000000132,isa,N0000188371
N0000188367,isa,N0000000223
N0000188370,isa,N0000000085
N0000188370,isa,N0000188367
N0000188371,isa,N0000188370
N0000000133,isa,N0000000163
N0000000163,isa,N0000000223
N0000000133,isa,N0000000163
N0000000134,isa,N0000000133
N0000000163,isa,N0000000223
N0000000082,isa,N0000000254
N0000000135,isa,N0000000247
N0000000247,isa,N0000000082
N0000000254,isa,N0000000223
N0000000068,isa,N0000000152
N0000000085,isa,N0000000223
N0000000136,isa,N0000000068
N0000000152,isa,N0000000085
N0000000085,isa,N0000000223
N0000000137,isa,N0000000213
N0000000213,isa,N0000000085
N0000000085,isa,N0000000223
N0000000138,isa,N0000000156
N0000000138,isa,N0000188380
N0000000156,isa,N0000000193
N0000000193,isa,N0000000085
N0000000193,isa,N0000188367
N0000188367,isa,N0000000223
N0000188380,isa,N0000000193
N0000000085,isa,N0000000223
N0000000139,isa,N0000000162
N0000000162,isa,N0000000221
N0000000221,isa,N0000000257
N0000000242,isa,N0000000085
N0000000257,isa,N0000000242
N0000000085,isa,N0000000223
