classId,className,classType
N0000178293,Therapeutic Categories,TC
N0000178294,"Antidotes, Deterrents, and Toxicologic Agents",TC
N0000178295,Anti-infective Agent,TC
N0000178296,Antibacterial Agent,TC
N0000178297,Antifungal Agent,TC
N0000178298,Antihelminthic Agent,TC
N0000178299,Antimalarial Agent,TC
N0000178300,Antimicrobial Agent,TC
N0000178301,Antimycobacterial Agent,TC
N0000178302,Antiparasitic Agent,TC
N0000178303,Antiprotozoal Agent,TC
N0000178304,Antiviral Agent,TC
N0000178305,Antiseptic Agent,TC
N0000178306,Anti-inflammatory Agent,TC
N0000178307,Antineoplastic Agent,TC
N0000178308,Antirheumatic Agent,TC
N0000178309,Cardiovascular Agent,TC
N0000178310,Anti-anginal Agent,TC
N0000178311,Anti-arrhythmic Agent,TC
N0000178312,Central Nervous System Agent,TC
N0000178313,Anti-epileptic Agent,TC
N0000178314,Antidepressive Agent,TC
N0000178315,Antimanic Agent,TC
N0000178316,Antipsychotic Agent,TC
N0000178317,Diagnostic Agent,TC
N0000178318,Respiratory System Agent,TC
N0000178319,Antitussive Agent,TC
N0000178370,Gastrointestinal Agent,TC
N0000178371,Anti-emetic Agent,TC
N0000178373,Antidiarrheal Agent,TC
N0000193809,Analgesics,TC
N0000193810,Anesthetics,TC
N0000193811,Anticonvulsants,TC
N0000193812,Antidementia Agents,TC
N0000193813,Antigout Agents,TC
N0000193814,Antimigraine Agents,TC
N0000193815,Antimyasthenic Agents,TC
N0000193816,Antiparkinson Agents,TC
N0000193817,Antispasticity Agents,TC
N0000193818,Anxiolytics,TC
N0000193819,Bipolar Agents,TC
N0000193820,Blood Glucose Regulators,TC
N0000193821,Blood Products/Modifiers/Volume Expanders,TC
N0000193822,Dental and Oral Agents,TC
N0000193823,Dermatological Agents,TC
N0000193824,Enzyme Replacements/Modifiers,TC
N0000193825,Genitourinary Agents,TC
N0000193826,"Hormonal Agents, Stimulant",TC
N0000193827,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",TC
N0000193828,"Hormonal Agents, Stimulant/Replacement/Modifying (Pituitary)",TC
N0000193829,"Hormonal Agents, Stimulant/Replacement/Modifying (Prostaglandins)",TC
N0000193830,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",TC
N0000193831,"Hormonal Agents, Stimulant/Replacement/Modifying (Thyroid)",TC
N0000193832,"Hormonal Agents, Suppressant (Parathyroid)",TC
N0000193836,"Hormonal Agents, Suppressant",TC
N0000193833,"Hormonal Agents, Suppressant (Pituitary)",TC
N0000193834,"Hormonal Agents, Suppressant (Sex Hormones/Modifiers)",TC
N0000193835,"Hormonal Agents, Suppressant (Thyroid)",TC
N0000193837,Immunological Agents,TC
N0000193838,Inflammatory Bowel Disease Agents,TC
N0000193839,Metabolic Bone Disease Agents,TC
N0000193840,Ophthalmic Agents,TC
N0000193841,Otic Agents,TC
N0000193842,Sedatives/Hypnotics,TC
N0000193843,Skeletal Muscle Relaxants,TC
N0000193844,Therapeutic Nutrients/Minerals/Electrolytes,TC
