concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
1006258,Apiospora montagnei allergenic extract,CHEM,IN,NA,RxNorm
1006258,Apiospora montagnei allergenic extract,CHEM,Concept,NA,SPL
1006310,Aspergillus repens allergenic extract,CHEM,IN,NA,RxNorm
1006310,Aspergillus repens allergenic extract,CHEM,Concept,NA,SPL
1006495,Indian wormwood sage pollen extract,CHEM,IN,NA,RxNorm
1006495,Indian wormwood sage pollen extract,CHEM,Concept,NA,SPL
1006506,tall oat grass pollen extract,CHEM,IN,NA,RxNorm
1006506,tall oat grass pollen extract,CHEM,Concept,NA,SPL
1006510,barley malt allergenic extract,CHEM,IN,NA,RxNorm
1006510,barley malt allergenic extract,CHEM,Concept,NA,SPL
10109,streptomycin,CHEM,IN,NA,RxNorm
10109,streptomycin,CHEM,Concept,NA,SPL
1010915,chocolate allergenic extract,CHEM,IN,NA,RxNorm
1010915,chocolate allergenic extract,CHEM,Concept,NA,SPL
1010932,leek allergenic extract,CHEM,IN,NA,RxNorm
1010932,leek allergenic extract,CHEM,Concept,NA,SPL
1010965,oregano allergenic extract,CHEM,IN,NA,RxNorm
1010965,oregano allergenic extract,CHEM,Concept,NA,SPL
1011017,poppy seed allergenic extract,CHEM,IN,NA,RxNorm
1011017,poppy seed allergenic extract,CHEM,Concept,NA,SPL
1011021,okra allergenic extract,CHEM,IN,NA,RxNorm
1011021,okra allergenic extract,CHEM,Concept,NA,SPL
1011027,parsnip allergenic extract,CHEM,IN,NA,RxNorm
1011027,parsnip allergenic extract,CHEM,Concept,NA,SPL
1011043,horseradish allergenic extract,CHEM,IN,NA,RxNorm
1011043,horseradish allergenic extract,CHEM,Concept,NA,SPL
1011049,chickpea allergenic extract,CHEM,IN,NA,RxNorm
1011049,chickpea allergenic extract,CHEM,Concept,NA,SPL
1011060,lime allergenic extract,CHEM,IN,NA,RxNorm
1011060,lime allergenic extract,CHEM,Concept,NA,SPL
1011404,mango allergenic extract,CHEM,IN,NA,RxNorm
1011404,mango allergenic extract,CHEM,Concept,NA,SPL
1011412,tangerine allergenic extract,CHEM,IN,NA,RxNorm
1011412,tangerine allergenic extract,CHEM,Concept,NA,SPL
1011418,watercress allergenic extract,CHEM,IN,NA,RxNorm
1011418,watercress allergenic extract,CHEM,Concept,NA,SPL
1011426,papaya allergenic extract,CHEM,IN,NA,RxNorm
1011426,papaya allergenic extract,CHEM,Concept,NA,SPL
1011627,sage leaf allergenic extract,CHEM,IN,NA,RxNorm
1011627,sage leaf allergenic extract,CHEM,Concept,NA,SPL
1011650,pegloticase,CHEM,IN,NA,RxNorm
1011650,pegloticase,CHEM,Concept,NA,SPL
1012026,veal allergenic extract,CHEM,IN,NA,RxNorm
1012026,veal allergenic extract,CHEM,Concept,NA,SPL
1012134,sour cherry allergenic extract,CHEM,IN,NA,RxNorm
1012134,sour cherry allergenic extract,CHEM,Concept,NA,SPL
1013913,scrub pine pollen extract,CHEM,IN,NA,RxNorm
1013913,scrub pine pollen extract,CHEM,Concept,NA,SPL
1013944,water oak pollen extract,CHEM,IN,NA,RxNorm
1013944,water oak pollen extract,CHEM,Concept,NA,SPL
1014191,cedar elm pollen extract,CHEM,IN,NA,RxNorm
1014191,cedar elm pollen extract,CHEM,Concept,NA,SPL
1014340,Italian rye grass pollen extract,CHEM,IN,NA,RxNorm
1014340,Italian rye grass pollen extract,CHEM,Concept,NA,SPL
1014360,longleaf pine pollen extract,CHEM,IN,NA,RxNorm
1014360,longleaf pine pollen extract,CHEM,Concept,NA,SPL
1014385,Bermuda grass smut allergenic extract,CHEM,IN,NA,RxNorm
1014385,Bermuda grass smut allergenic extract,CHEM,Concept,NA,SPL
1014391,Humicola grisea allergenic extract,CHEM,IN,NA,RxNorm
1014391,Humicola grisea allergenic extract,CHEM,Concept,NA,SPL
1014395,Microsporum audouinii allergenic extract,CHEM,IN,NA,RxNorm
1014395,Microsporum audouinii allergenic extract,CHEM,Concept,NA,SPL
1014399,microsporum canis allergenic extract,CHEM,IN,NA,RxNorm
1014399,microsporum canis allergenic extract,CHEM,Concept,NA,SPL
1014447,yellow sweet clover pollen extract,CHEM,IN,NA,RxNorm
1014447,yellow sweet clover pollen extract,CHEM,Concept,NA,SPL
1014690,jack pine pollen extract,CHEM,IN,NA,RxNorm
1014690,jack pine pollen extract,CHEM,Concept,NA,SPL
1014707,redwood pollen extract,CHEM,IN,NA,RxNorm
1014707,redwood pollen extract,CHEM,Concept,NA,SPL
1014721,California black oak pollen extract,CHEM,IN,NA,RxNorm
1014721,California black oak pollen extract,CHEM,Concept,NA,SPL
1014731,Canadian bluegrass pollen extract,CHEM,IN,NA,RxNorm
1014731,Canadian bluegrass pollen extract,CHEM,Concept,NA,SPL
1014735,white sweet clover pollen extract,CHEM,IN,NA,RxNorm
1014735,white sweet clover pollen extract,CHEM,Concept,NA,SPL
1014739,bitter dock pollen extract,CHEM,IN,NA,RxNorm
1014739,bitter dock pollen extract,CHEM,Concept,NA,SPL
1014743,white (mexican) dock pollen extract,CHEM,IN,NA,RxNorm
1014743,white (mexican) dock pollen extract,CHEM,Concept,NA,SPL
1014755,western black willow pollen extract,CHEM,IN,NA,RxNorm
1014755,western black willow pollen extract,CHEM,Concept,NA,SPL
1014762,balsam poplar pollen extract,CHEM,IN,NA,RxNorm
1014762,balsam poplar pollen extract,CHEM,Concept,NA,SPL
1014766,Jerusalem oak pollen extract,CHEM,IN,NA,RxNorm
1014766,Jerusalem oak pollen extract,CHEM,Concept,NA,SPL
1014774,cultivated rye grass pollen extract,CHEM,IN,NA,RxNorm
1014774,cultivated rye grass pollen extract,CHEM,Concept,NA,SPL
10156,sucralfate,CHEM,IN,NA,RxNorm
10156,sucralfate,CHEM,Concept,NA,SPL
10169,sulfacetamide,CHEM,IN,NA,RxNorm
10169,sulfacetamide,CHEM,Concept,NA,SPL
10171,sulfadiazine,CHEM,IN,NA,RxNorm
10171,sulfadiazine,CHEM,Concept,NA,SPL
10180,sulfamethoxazole,CHEM,IN,NA,RxNorm
10180,sulfamethoxazole,CHEM,Concept,NA,SPL
10207,sulfisoxazole,CHEM,IN,NA,RxNorm
10207,sulfisoxazole,CHEM,Concept,NA,SPL
10355,temazepam,CHEM,IN,NA,RxNorm
10355,temazepam,CHEM,Concept,NA,SPL
10379,testosterone,CHEM,IN,NA,RxNorm
10379,testosterone,CHEM,Concept,NA,SPL
10391,tetracaine,CHEM,IN,NA,RxNorm
10391,tetracaine,CHEM,Concept,NA,SPL
10395,tetracycline,CHEM,IN,NA,RxNorm
10395,tetracycline,CHEM,Concept,NA,SPL
1040005,ceftaroline,CHEM,IN,NA,RxNorm
1040005,ceftaroline,CHEM,Concept,NA,SPL
10402,dronabinol,CHEM,IN,NA,RxNorm
10402,dronabinol,CHEM,Concept,NA,SPL
10472,thimerosal,CHEM,IN,NA,RxNorm
10472,thimerosal,CHEM,Concept,NA,SPL
10502,thioridazine,CHEM,IN,NA,RxNorm
10502,thioridazine,CHEM,Concept,NA,SPL
10517,thiram,CHEM,IN,NA,RxNorm
10517,thiram,CHEM,Concept,NA,SPL
10528,thrombin,CHEM,IN,NA,RxNorm
10528,thrombin,CHEM,Concept,NA,SPL
105694,epoetin alfa,CHEM,IN,NA,RxNorm
105694,epoetin alfa,CHEM,Concept,NA,SPL
10582,levothyroxine,CHEM,IN,NA,RxNorm
10582,levothyroxine,CHEM,Concept,NA,SPL
10612,tinidazole,CHEM,IN,NA,RxNorm
10612,tinidazole,CHEM,Concept,NA,SPL
10627,tobramycin,CHEM,IN,NA,RxNorm
10627,tobramycin,CHEM,Concept,NA,SPL
10633,tolazamide,CHEM,IN,NA,RxNorm
10633,tolazamide,CHEM,Concept,NA,SPL
107044,rabbit anti-human T-lymphocyte globulin,CHEM,PIN,NA,RxNorm
107044,rabbit anti-human T-lymphocyte globulin,CHEM,Concept,NA,SPL
10753,tretinoin,CHEM,IN,NA,RxNorm
10753,tretinoin,CHEM,Concept,NA,SPL
10767,triazolam,CHEM,IN,NA,RxNorm
10767,triazolam,CHEM,Concept,NA,SPL
10800,trifluoperazine,CHEM,IN,NA,RxNorm
10800,trifluoperazine,CHEM,Concept,NA,SPL
10803,trifluridine,CHEM,IN,NA,RxNorm
10803,trifluridine,CHEM,Concept,NA,SPL
10814,liothyronine,CHEM,IN,NA,RxNorm
10814,liothyronine,CHEM,Concept,NA,SPL
1091605,"factor XIII, human",CHEM,PIN,NA,RxNorm
1091605,"factor XIII, human",CHEM,Concept,NA,SPL
1094116,creeping bentgrass pollen extract,CHEM,IN,NA,RxNorm
1094116,creeping bentgrass pollen extract,CHEM,Concept,NA,SPL
1094193,broomweed pollen extract,CHEM,IN,NA,RxNorm
1094193,broomweed pollen extract,CHEM,Concept,NA,SPL
1098118,cultivated barley pollen extract,CHEM,IN,NA,RxNorm
1098118,cultivated barley pollen extract,CHEM,Concept,NA,SPL
1098130,narrowleaf marshelder pollen extract,CHEM,IN,NA,RxNorm
1098130,narrowleaf marshelder pollen extract,CHEM,Concept,NA,SPL
1098183,largemouth bass allergenic extract,CHEM,IN,NA,RxNorm
1098183,largemouth bass allergenic extract,CHEM,Concept,NA,SPL
1098189,osage orange pollen extract,CHEM,IN,NA,RxNorm
1098189,osage orange pollen extract,CHEM,Concept,NA,SPL
1098200,Neurospora sitophila allergenic extract,CHEM,IN,NA,RxNorm
1098200,Neurospora sitophila allergenic extract,CHEM,Concept,NA,SPL
1098232,littleseed canary grass pollen extract,CHEM,IN,NA,RxNorm
1098232,littleseed canary grass pollen extract,CHEM,Concept,NA,SPL
1098257,Douglas fir pollen extract,CHEM,IN,NA,RxNorm
1098257,Douglas fir pollen extract,CHEM,Concept,NA,SPL
1098353,orris root allergenic extract,CHEM,IN,NA,RxNorm
1098353,orris root allergenic extract,CHEM,Concept,NA,SPL
1098455,Sudan grass pollen extract,CHEM,IN,NA,RxNorm
1098455,Sudan grass pollen extract,CHEM,Concept,NA,SPL
1098619,Trichophyton tonsurans allergenic extract,CHEM,IN,NA,RxNorm
1098619,Trichophyton tonsurans allergenic extract,CHEM,Concept,NA,SPL
11017,uridine,CHEM,IN,NA,RxNorm
11017,uridine,CHEM,Concept,NA,SPL
1102270,rilpivirine,CHEM,IN,NA,RxNorm
1102270,rilpivirine,CHEM,Concept,NA,SPL
11065,ursodiol,CHEM,PIN,NA,RxNorm
11065,ursodiol,CHEM,Concept,NA,SPL
1111024,valley oak pollen extract,CHEM,IN,NA,RxNorm
1111024,valley oak pollen extract,CHEM,Concept,NA,SPL
1111103,fidaxomicin,CHEM,IN,NA,RxNorm
1111103,fidaxomicin,CHEM,Concept,NA,SPL
11124,vancomycin,CHEM,IN,NA,RxNorm
11124,vancomycin,CHEM,Concept,NA,SPL
1114345,bronopol,CHEM,IN,NA,RxNorm
1114345,bronopol,CHEM,Concept,NA,SPL
1116977,American house dust mite allergenic extract,CHEM,IN,NA,RxNorm
1116977,American house dust mite allergenic extract,CHEM,Concept,NA,SPL
1116979,European house dust mite allergenic extract,CHEM,IN,NA,RxNorm
