concept_code,standard_concept,class_type
C045213,C,CHEM
C045781,C,CHEM
C072379,C,CHEM
D000067816,C,CHEM
D000068180,C,CHEM
D000068196,C,CHEM
D000068238,C,CHEM
D000068256,C,CHEM
D000068258,C,CHEM
D000068296,C,CHEM
D000068298,C,CHEM
D000068299,C,CHEM
D000068437,C,CHEM
D000068438,C,CHEM
D000068538,C,CHEM
D000068556,C,CHEM
D000068557,C,CHEM
D000068576,C,CHEM
D000068577,C,CHEM
D000068579,C,CHEM
D000068580,C,CHEM
D000068582,C,CHEM
D000068656,C,CHEM
D000068679,C,CHEM
D000068698,C,CHEM
D000068717,C,CHEM
D000068718,C,CHEM
D000068736,C,CHEM
D000068737,C,CHEM
D000068759,C,CHEM
D000068799,C,CHEM
D000068800,C,CHEM
D000068816,C,CHEM
D000068817,C,CHEM
D000068818,C,CHEM
D000068836,C,CHEM
D000068876,C,CHEM
D000068877,C,CHEM
D000068878,C,CHEM
D000068879,C,CHEM
D000068880,C,CHEM
D000068882,C,CHEM
D000068896,C,CHEM
D000068898,C,CHEM
D000068900,C,CHEM
D000069036,C,CHEM
D000069057,C,CHEM
D000069283,C,CHEM
D000069285,C,CHEM
D000069286,C,CHEM
D000069287,C,CHEM
D000069347,C,CHEM
D000069348,C,CHEM
D000069438,C,CHEM
D000069439,C,CHEM
D000069442,C,CHEM
D000069444,C,CHEM
D000069445,C,CHEM
D000069447,C,CHEM
D000069448,C,CHEM
D000069449,C,CHEM
D000069450,C,CHEM
D000069455,C,CHEM
D000069461,C,CHEM
D000069463,C,CHEM
D000069465,C,CHEM
D000069468,C,CHEM
D000069470,C,CHEM
D000069472,C,CHEM
D000069474,C,CHEM
D000069476,C,CHEM
D000069478,C,CHEM
D000069501,C,CHEM
D000069503,C,CHEM
D000069549,C,CHEM
D000069552,C,CHEM
D000069557,C,CHEM
D000069559,C,CHEM
D000069579,C,CHEM
D000069580,C,CHEM
D000069582,C,CHEM
D000069583,C,CHEM
D000069585,C,CHEM
D000069594,C,CHEM
D000069603,C,CHEM
D000069604,C,CHEM
D000069605,C,CHEM
D000069616,C,CHEM
D000070,C,CHEM
D000072316,C,CHEM
D000072317,C,CHEM
D000073417,C,CHEM
D000073738,C,CHEM
D000073878,C,CHEM
D000073879,C,CHEM
D000073893,C,CHEM
D000073943,C,CHEM
D000073999,C,CHEM
D000074,C,CHEM
D000074241,C,CHEM
D000074242,C,CHEM
D000074262,C,CHEM
D000074263,C,CHEM
D000074323,C,CHEM
D000074324,C,CHEM
D000074385,C,CHEM
D000075,C,CHEM
D000075462,C,CHEM
D000076962,C,CHEM
D000077122,C,CHEM
D000077123,C,CHEM
D000077143,C,CHEM
D000077144,C,CHEM
D000077145,C,CHEM
D000077149,C,CHEM
D000077150,C,CHEM
D000077152,C,CHEM
D000077154,C,CHEM
D000077156,C,CHEM
D000077157,C,CHEM
D000077182,C,CHEM
D000077185,C,CHEM
D000077190,C,CHEM
D000077204,C,CHEM
D000077205,C,CHEM
D000077206,C,CHEM
D000077208,C,CHEM
D000077209,C,CHEM
D000077210,C,CHEM
D000077211,C,CHEM
D000077212,C,CHEM
D000077213,C,CHEM
D000077214,C,CHEM
D000077222,C,CHEM
D000077235,C,CHEM
D000077236,C,CHEM
D000077237,C,CHEM
D000077239,C,CHEM
D000077250,C,CHEM
D000077261,C,CHEM
D000077265,C,CHEM
D000077267,C,CHEM
D000077268,C,CHEM
D000077269,C,CHEM
D000077270,C,CHEM
D000077271,C,CHEM
D000077276,C,CHEM
D000077284,C,CHEM
D000077286,C,CHEM
D000077287,C,CHEM
D000077288,C,CHEM
D000077289,C,CHEM
D000077291,C,CHEM
D000077322,C,CHEM
D000077332,C,CHEM
D000077333,C,CHEM
D000077334,C,CHEM
D000077335,C,CHEM
D000077336,C,CHEM
D000077337,C,CHEM
D000077338,C,CHEM
D000077340,C,CHEM
D000077341,C,CHEM
D000077362,C,CHEM
D000077384,C,CHEM
D000077385,C,CHEM
D000077402,C,CHEM
D000077403,C,CHEM
D000077404,C,CHEM
D000077405,C,CHEM
D000077407,C,CHEM
D000077408,C,CHEM
D000077409,C,CHEM
D000077410,C,CHEM
D000077422,C,CHEM
D000077423,C,CHEM
D000077425,C,CHEM
D000077427,C,CHEM
D000077430,C,CHEM
D000077431,C,CHEM
D000077432,C,CHEM
D000077443,C,CHEM
D000077463,C,CHEM
D000077464,C,CHEM
D000077465,C,CHEM
D000077466,C,CHEM
D000077483,C,CHEM
D000077484,C,CHEM
D000077485,C,CHEM
D000077487,C,CHEM
D000077489,C,CHEM
D000077525,C,CHEM
D000077526,C,CHEM
D000077542,C,CHEM
D000077543,C,CHEM
D000077544,C,CHEM
D000077547,C,CHEM
D000077549,C,CHEM
D000077551,C,CHEM
D000077552,C,CHEM
D000077553,C,CHEM
D000077554,C,CHEM
D000077555,C,CHEM
D000077556,C,CHEM
D000077557,C,CHEM
D000077559,C,CHEM
D000077560,C,CHEM
D000077561,C,CHEM
D000077562,C,CHEM
D000077563,C,CHEM
D000077582,C,CHEM
D000077583,C,CHEM
D000077585,C,CHEM
D000077588,C,CHEM
D000077589,C,CHEM
D000077590,C,CHEM
D000077591,C,CHEM
D000077592,C,CHEM
D000077593,C,CHEM
D000077594,C,CHEM
D000077596,C,CHEM
D000077597,C,CHEM
D000077603,C,CHEM
D000077604,C,CHEM
D000077605,C,CHEM
D000077606,C,CHEM
D000077607,C,CHEM
D000077608,C,CHEM
D000077610,C,CHEM
D000077612,C,CHEM
D000077613,C,CHEM
D000077682,C,CHEM
D000077712,C,CHEM
D000077713,C,CHEM
D000077715,C,CHEM
D000077716,C,CHEM
D000077722,C,CHEM
D000077723,C,CHEM
D000077726,C,CHEM
D000077727,C,CHEM
D000077731,C,CHEM
D000077732,C,CHEM
D000077735,C,CHEM
D000077743,C,CHEM
D000077767,C,CHEM
D000077768,C,CHEM
D000077769,C,CHEM
D000077770,C,CHEM
D000077771,C,CHEM
D000077784,C,CHEM
D000077785,C,CHEM
D000077786,C,CHEM
D000077863,C,CHEM
D000077866,C,CHEM
D000077867,C,CHEM
D000077924,C,CHEM
D000077944,C,CHEM
D000078102,C,CHEM
D000078122,C,CHEM
D000078142,C,CHEM
D000078183,C,CHEM
D000078222,C,CHEM
D000078223,C,CHEM
D000078224,C,CHEM
D000078262,C,CHEM
D000078304,C,CHEM
D000078305,C,CHEM
D000078306,C,CHEM
D000078308,C,CHEM
D000078328,C,CHEM
D000078334,C,CHEM
D000078522,C,CHEM
D000078764,C,CHEM
D000078784,C,CHEM
D000078785,C,CHEM
D000078862,C,CHEM
D000079963,C,CHEM
D000079982,C,CHEM
D000080027,C,CHEM
D000080044,C,CHEM
D000080045,C,CHEM
D000080084,C,CHEM
D000080462,C,CHEM
D000080908,C,CHEM
D000081004,C,CHEM
D000081005,C,CHEM
D000081007,C,CHEM
D000081008,C,CHEM
D000081014,C,CHEM
D000081222,C,CHEM
D000081223,C,CHEM
D000081225,C,CHEM
D000081226,C,CHEM
D000081248,C,CHEM
D000082,C,CHEM
D000084562,C,CHEM
D000086,C,CHEM
D000086663,C,CHEM
D000089,C,CHEM
D000089882,C,CHEM
D000090,C,CHEM
D000090984,C,CHEM
D000092,C,CHEM
D000096,C,CHEM
D000097,C,CHEM
D000098,C,CHEM
D000105,C,CHEM
D000108,C,CHEM
D000109,C,CHEM
D000110,C,CHEM
D000111,C,CHEM
D000112,C,CHEM
D000113,C,CHEM
D000114,C,CHEM
D000116,C,CHEM
D000117,C,CHEM
D000145,C,CHEM
D000149,C,CHEM
D000156,C,CHEM
D000157,C,CHEM
D000167,C,CHEM
D000171,C,CHEM
D000178,C,CHEM
D000179,C,CHEM
D000180,C,CHEM
D000198,C,CHEM
D000209,C,CHEM
D000214,C,CHEM
D000218,C,CHEM
D000227,C,CHEM
D000242,C,CHEM
D000243,C,CHEM
D000244,C,CHEM
D000249,C,CHEM
D000255,C,CHEM
D000272,C,CHEM
D000323,C,CHEM
D000324,C,CHEM
D000348,C,CHEM
D000362,C,CHEM
D000404,C,CHEM
D000409,C,CHEM
D000418,C,CHEM
D000429,C,CHEM
D000432,C,CHEM
D000433,C,CHEM
D000439,C,CHEM
D000440,C,CHEM
D000442,C,CHEM
D000443,C,CHEM
D000450,C,CHEM
D000464,C,CHEM
D000466,C,CHEM
D000469,C,CHEM
D000473,C,CHEM
D000476,C,CHEM
D000477,C,CHEM
D000479,C,CHEM
D000481,C,CHEM
D000487,C,CHEM
D000496,C,CHEM
D000498,C,CHEM
D000499,C,CHEM
D000500,C,CHEM
D000510,C,CHEM
D000515,C,CHEM
D000516,C,CHEM
D000517,C,CHEM
D000518,C,CHEM
D000519,C,CHEM
D000520,C,CHEM
D000521,C,CHEM
D000522,C,CHEM
D000523,C,CHEM
D000526,C,CHEM
D000527,C,CHEM
D000534,C,CHEM
D000535,C,CHEM
D000536,C,CHEM
D000537,C,CHEM
D000538,C,CHEM
D000547,C,CHEM
D000548,C,CHEM
D000549,C,CHEM
D000551,C,CHEM
D000560,C,CHEM
D000561,C,CHEM
D000581,C,CHEM
D000583,C,CHEM
D000585,C,CHEM
D000599,C,CHEM
D000600,C,CHEM
D000606,C,CHEM
D000614,C,CHEM
D000615,C,CHEM
D000616,C,CHEM
D000618,C,CHEM
D000619,C,CHEM
D000622,C,CHEM
D000627,C,CHEM
D000628,C,CHEM
D000632,C,CHEM
D000636,C,CHEM
D000641,C,CHEM
D000642,C,CHEM
D000643,C,CHEM
D000645,C,CHEM
D000654,C,CHEM
D000655,C,CHEM
D000658,C,CHEM
D000661,C,CHEM
D000666,C,CHEM
D000667,C,CHEM
D000670,C,CHEM
D000677,C,CHEM
D000678,C,CHEM
D000680,C,CHEM
D000681,C,CHEM
D000682,C,CHEM
D000687,C,CHEM
D000721,C,CHEM
D000730,C,CHEM
D000732,C,CHEM
D000734,C,CHEM
D000735,C,CHEM
D000737,C,CHEM
D000738,C,CHEM
D000781,C,CHEM
D000804,C,CHEM
D000809,C,CHEM
D000812,C,CHEM
D000840,C,CHEM
D000865,C,CHEM
D000872,C,CHEM
D000875,C,CHEM
D000888,C,CHEM
D000906,C,CHEM
D000911,C,CHEM
D000941,C,CHEM
D000942,C,CHEM
D000943,C,CHEM
D000944,C,CHEM
D000946,C,CHEM
D000954,C,CHEM
D000956,C,CHEM
D000961,C,CHEM
D000963,C,CHEM
D000965,C,CHEM
D000966,C,CHEM
D000967,C,CHEM
D000983,C,CHEM
D000990,C,CHEM
D000992,C,CHEM
D001031,C,CHEM
D001032,C,CHEM
D001073,C,CHEM
D001084,C,CHEM
D001087,C,CHEM
D001088,C,CHEM
D001095,C,CHEM
D001104,C,CHEM
D001120,C,CHEM
D001127,C,CHEM
D001128,C,CHEM
D001147,C,CHEM
D001149,C,CHEM
D001151,C,CHEM
D001152,C,CHEM
D001180,C,CHEM
D001190,C,CHEM
D001192,C,CHEM
D001205,C,CHEM
D001215,C,CHEM
D001216,C,CHEM
D001218,C,CHEM
D001224,C,CHEM
D001262,C,CHEM
D001279,C,CHEM
D001310,C,CHEM
D001374,C,CHEM
D001378,C,CHEM
D001381,C,CHEM
D001384,C,CHEM
D001385,C,CHEM
D001388,C,CHEM
D001389,C,CHEM
D001390,C,CHEM
D001391,C,CHEM
D001392,C,CHEM
D001398,C,CHEM
D001414,C,CHEM
D001418,C,CHEM
D001425,C,CHEM
D001427,C,CHEM
D001428,C,CHEM
D001453,C,CHEM
D001455,C,CHEM
D001462,C,CHEM
D001464,C,CHEM
D001466,C,CHEM
D001500,C,CHEM
D001507,C,CHEM
D001535,C,CHEM
D001537,C,CHEM
D001539,C,CHEM
D001544,C,CHEM
D001545,C,CHEM
D001546,C,CHEM
D001547,C,CHEM
D001548,C,CHEM
D001550,C,CHEM
D001551,C,CHEM
D001553,C,CHEM
D001554,C,CHEM
D001556,C,CHEM
D001557,C,CHEM
D001558,C,CHEM
D001561,C,CHEM
D001564,C,CHEM
D001566,C,CHEM
D001573,C,CHEM
D001575,C,CHEM
D001577,C,CHEM
D001580,C,CHEM
D001583,C,CHEM
D001584,C,CHEM
D001585,C,CHEM
D001589,C,CHEM
D001590,C,CHEM
D001591,C,CHEM
D001592,C,CHEM
D001597,C,CHEM
D001599,C,CHEM
D001600,C,CHEM
D001608,C,CHEM
D001609,C,CHEM
D001616,C,CHEM
D001621,C,CHEM
D001622,C,CHEM
D001623,C,CHEM
D001624,C,CHEM
D001626,C,CHEM
D001627,C,CHEM
D001629,C,CHEM
