concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
1000104,incobotulinumtoxinA,DISEASE,Concept,NA,MEDRT
1000104,incobotulinumtoxinA,DISEASE,PIN,NA,RxNorm
1000112,medroxyprogesterone acetate,DISEASE,Concept,NA,MEDRT
1000112,medroxyprogesterone acetate,DISEASE,PIN,NA,RxNorm
1000146,estradiol cypionate,DISEASE,Concept,NA,MEDRT
1000146,estradiol cypionate,DISEASE,PIN,NA,RxNorm
1000492,resveratrol,DISEASE,Concept,NA,MEDRT
1000492,resveratrol,DISEASE,IN,NA,RxNorm
1001,antipyrine,DISEASE,Concept,NA,MEDRT
1001,antipyrine,DISEASE,IN,NA,RxNorm
100272,Lactobacillus delbrueckii subsp. bulgaricus,DISEASE,Concept,NA,MEDRT
100272,Lactobacillus delbrueckii subsp. bulgaricus,DISEASE,IN,NA,RxNorm
100278,Lacticaseibacillus rhamnosus,DISEASE,Concept,NA,MEDRT
100278,Lacticaseibacillus rhamnosus,DISEASE,IN,NA,RxNorm
10030,stannous fluoride,DISEASE,Concept,NA,MEDRT
10030,stannous fluoride,DISEASE,IN,NA,RxNorm
10106,streptokinase,DISEASE,Concept,NA,MEDRT
10106,streptokinase,DISEASE,IN,NA,RxNorm
10109,streptomycin,DISEASE,Concept,NA,MEDRT
10109,streptomycin,DISEASE,IN,NA,RxNorm
10110,streptomycin sulfate,DISEASE,Concept,NA,MEDRT
10110,streptomycin sulfate,DISEASE,PIN,NA,RxNorm
10114,streptozocin,DISEASE,Concept,NA,MEDRT
10114,streptozocin,DISEASE,IN,NA,RxNorm
1011650,pegloticase,DISEASE,Concept,NA,MEDRT
1011650,pegloticase,DISEASE,IN,NA,RxNorm
1012891,fingolimod hydrochloride,DISEASE,Concept,NA,MEDRT
1012891,fingolimod hydrochloride,DISEASE,PIN,NA,RxNorm
1012892,fingolimod,DISEASE,Concept,NA,MEDRT
1012892,fingolimod,DISEASE,IN,NA,RxNorm
101299,amphotericin B colloidal dispersion,DISEASE,Concept,NA,MEDRT
101299,amphotericin B colloidal dispersion,DISEASE,PIN,NA,RxNorm
10154,succinylcholine,DISEASE,Concept,NA,MEDRT
10154,succinylcholine,DISEASE,IN,NA,RxNorm
10156,sucralfate,DISEASE,Concept,NA,MEDRT
10156,sucralfate,DISEASE,IN,NA,RxNorm
10167,sulbactam,DISEASE,Concept,NA,MEDRT
10167,sulbactam,DISEASE,IN,NA,RxNorm
10169,sulfacetamide,DISEASE,Concept,NA,MEDRT
10169,sulfacetamide,DISEASE,IN,NA,RxNorm
10171,sulfadiazine,DISEASE,Concept,NA,MEDRT
10171,sulfadiazine,DISEASE,IN,NA,RxNorm
10173,sulfadoxine,DISEASE,Concept,NA,MEDRT
10173,sulfadoxine,DISEASE,IN,NA,RxNorm
10180,sulfamethoxazole,DISEASE,Concept,NA,MEDRT
10180,sulfamethoxazole,DISEASE,IN,NA,RxNorm
10184,sulfanilamide,DISEASE,Concept,NA,MEDRT
10184,sulfanilamide,DISEASE,IN,NA,RxNorm
10188,sulfapyridine,DISEASE,Concept,NA,MEDRT
10188,sulfapyridine,DISEASE,IN,NA,RxNorm
10207,sulfisoxazole,DISEASE,Concept,NA,MEDRT
10207,sulfisoxazole,DISEASE,IN,NA,RxNorm
10208,sulfisoxazole diolamine,DISEASE,Concept,NA,MEDRT
10208,sulfisoxazole diolamine,DISEASE,PIN,NA,RxNorm
10223,sulfur,DISEASE,Concept,NA,MEDRT
10223,sulfur,DISEASE,IN,NA,RxNorm
102313,metoprolol fumarate,DISEASE,Concept,NA,MEDRT
102313,metoprolol fumarate,DISEASE,PIN,NA,RxNorm
10237,sulindac,DISEASE,Concept,NA,MEDRT
10237,sulindac,DISEASE,IN,NA,RxNorm
1025342,levomefolic acid,DISEASE,Concept,NA,MEDRT
1025342,levomefolic acid,DISEASE,PIN,NA,RxNorm
102758,clomocycline sodium,DISEASE,Concept,NA,MEDRT
102758,clomocycline sodium,DISEASE,PIN,NA,RxNorm
1028454,levomefolate calcium,DISEASE,Concept,NA,MEDRT
1028454,levomefolate calcium,DISEASE,PIN,NA,RxNorm
103,mercaptopurine,DISEASE,Concept,NA,MEDRT
103,mercaptopurine,DISEASE,IN,NA,RxNorm
10323,talc,DISEASE,Concept,NA,MEDRT
10323,talc,DISEASE,IN,NA,RxNorm
10324,tamoxifen,DISEASE,Concept,NA,MEDRT
10324,tamoxifen,DISEASE,IN,NA,RxNorm
103468,hydrocortisone butyrate,DISEASE,Concept,NA,MEDRT
103468,hydrocortisone butyrate,DISEASE,PIN,NA,RxNorm
10355,temazepam,DISEASE,Concept,NA,MEDRT
10355,temazepam,DISEASE,IN,NA,RxNorm
10362,teniposide,DISEASE,Concept,NA,MEDRT
10362,teniposide,DISEASE,IN,NA,RxNorm
10379,testosterone,DISEASE,Concept,NA,MEDRT
10379,testosterone,DISEASE,IN,NA,RxNorm
10382,testosterone propionate,DISEASE,Concept,NA,MEDRT
10382,testosterone propionate,DISEASE,PIN,NA,RxNorm
103866,metronidazole benzoate,DISEASE,Concept,NA,MEDRT
103866,metronidazole benzoate,DISEASE,PIN,NA,RxNorm
10390,tetrabenazine,DISEASE,Concept,NA,MEDRT
10390,tetrabenazine,DISEASE,IN,NA,RxNorm
10395,tetracycline,DISEASE,Concept,NA,MEDRT
10395,tetracycline,DISEASE,IN,NA,RxNorm
1040004,ceftaroline fosamil,DISEASE,Concept,NA,MEDRT
1040004,ceftaroline fosamil,DISEASE,IN,NA,RxNorm
1040005,ceftaroline,DISEASE,Concept,NA,MEDRT
1040005,ceftaroline,DISEASE,IN,NA,RxNorm
1040027,lurasidone hydrochloride,DISEASE,Concept,NA,MEDRT
1040027,lurasidone hydrochloride,DISEASE,PIN,NA,RxNorm
1040028,lurasidone,DISEASE,Concept,NA,MEDRT
1040028,lurasidone,DISEASE,IN,NA,RxNorm
10432,thalidomide,DISEASE,Concept,NA,MEDRT
10432,thalidomide,DISEASE,IN,NA,RxNorm
1043213,cloxacillin benzathine,DISEASE,Concept,NA,MEDRT
1043213,cloxacillin benzathine,DISEASE,PIN,NA,RxNorm
10438,theophylline,DISEASE,Concept,NA,MEDRT
10438,theophylline,DISEASE,IN,NA,RxNorm
1044583,tesamorelin acetate,DISEASE,Concept,NA,MEDRT
1044583,tesamorelin acetate,DISEASE,PIN,NA,RxNorm
1044584,tesamorelin,DISEASE,Concept,NA,MEDRT
1044584,tesamorelin,DISEASE,IN,NA,RxNorm
104463,epoprostenol sodium,DISEASE,Concept,NA,MEDRT
104463,epoprostenol sodium,DISEASE,PIN,NA,RxNorm
104485,colestipol hydrochloride,DISEASE,Concept,NA,MEDRT
104485,colestipol hydrochloride,DISEASE,PIN,NA,RxNorm
10450,thiabendazole,DISEASE,Concept,NA,MEDRT
10450,thiabendazole,DISEASE,IN,NA,RxNorm
10454,thiamine,DISEASE,Concept,NA,MEDRT
10454,thiamine,DISEASE,IN,NA,RxNorm
1045452,eribulin mesylate,DISEASE,Concept,NA,MEDRT
1045452,eribulin mesylate,DISEASE,PIN,NA,RxNorm
1045453,eribulin,DISEASE,Concept,NA,MEDRT
1045453,eribulin,DISEASE,IN,NA,RxNorm
10456,thiamine mononitrate,DISEASE,Concept,NA,MEDRT
10456,thiamine mononitrate,DISEASE,PIN,NA,RxNorm
10459,thiamine pyrophosphate,DISEASE,Concept,NA,MEDRT
10459,thiamine pyrophosphate,DISEASE,PIN,NA,RxNorm
104592,cyproheptadine hydrochloride,DISEASE,Concept,NA,MEDRT
104592,cyproheptadine hydrochloride,DISEASE,PIN,NA,RxNorm
1046243,alpha-tocopherol acetate,DISEASE,Concept,NA,MEDRT
1046243,alpha-tocopherol acetate,DISEASE,PIN,NA,RxNorm
104728,chlorpromazine hydrochloride,DISEASE,Concept,NA,MEDRT
104728,chlorpromazine hydrochloride,DISEASE,PIN,NA,RxNorm
10473,thiotepa,DISEASE,Concept,NA,MEDRT
10473,thiotepa,DISEASE,IN,NA,RxNorm
1047802,hyoscyamine hydrobromide,DISEASE,Concept,NA,MEDRT
1047802,hyoscyamine hydrobromide,DISEASE,PIN,NA,RxNorm
10485,thioguanine,DISEASE,Concept,NA,MEDRT
10485,thioguanine,DISEASE,IN,NA,RxNorm
1049105,benzocaine hydrochloride,DISEASE,Concept,NA,MEDRT
1049105,benzocaine hydrochloride,DISEASE,PIN,NA,RxNorm
10502,thioridazine,DISEASE,Concept,NA,MEDRT
10502,thioridazine,DISEASE,IN,NA,RxNorm
10510,thiothixene,DISEASE,Concept,NA,MEDRT
10510,thiothixene,DISEASE,IN,NA,RxNorm
105443,pamidronate disodium,DISEASE,Concept,NA,MEDRT
105443,pamidronate disodium,DISEASE,PIN,NA,RxNorm
105470,ritodrine hydrochloride,DISEASE,Concept,NA,MEDRT
105470,ritodrine hydrochloride,DISEASE,PIN,NA,RxNorm
10565,thyroglobulin,DISEASE,Concept,NA,MEDRT
10565,thyroglobulin,DISEASE,IN,NA,RxNorm
105669,polysaccharide iron complex,DISEASE,Concept,NA,MEDRT
105669,polysaccharide iron complex,DISEASE,IN,NA,RxNorm
10572,thyroid (USP),DISEASE,Concept,NA,MEDRT
10572,thyroid (USP),DISEASE,IN,NA,RxNorm
105745,trisodium edetate,DISEASE,Concept,NA,MEDRT
105745,trisodium edetate,DISEASE,PIN,NA,RxNorm
10582,levothyroxine,DISEASE,Concept,NA,MEDRT
10582,levothyroxine,DISEASE,IN,NA,RxNorm
10591,ticarcillin,DISEASE,Concept,NA,MEDRT
10591,ticarcillin,DISEASE,IN,NA,RxNorm
10594,ticlopidine,DISEASE,Concept,NA,MEDRT
10594,ticlopidine,DISEASE,IN,NA,RxNorm
10600,timolol,DISEASE,Concept,NA,MEDRT
10600,timolol,DISEASE,IN,NA,RxNorm
106047,physostigmine sulfate,DISEASE,Concept,NA,MEDRT
106047,physostigmine sulfate,DISEASE,PIN,NA,RxNorm
106101,oxymetazoline hydrochloride,DISEASE,Concept,NA,MEDRT
106101,oxymetazoline hydrochloride,DISEASE,PIN,NA,RxNorm
10612,tinidazole,DISEASE,Concept,NA,MEDRT
10612,tinidazole,DISEASE,IN,NA,RxNorm
106212,calamine,DISEASE,Concept,NA,MEDRT
106212,calamine,DISEASE,IN,NA,RxNorm
10627,tobramycin,DISEASE,Concept,NA,MEDRT
10627,tobramycin,DISEASE,IN,NA,RxNorm
10634,tolazoline,DISEASE,Concept,NA,MEDRT
10634,tolazoline,DISEASE,IN,NA,RxNorm
10636,tolmetin,DISEASE,Concept,NA,MEDRT
10636,tolmetin,DISEASE,IN,NA,RxNorm
10637,tolnaftate,DISEASE,Concept,NA,MEDRT
10637,tolnaftate,DISEASE,IN,NA,RxNorm
10691,tranexamic acid,DISEASE,Concept,NA,MEDRT
10691,tranexamic acid,DISEASE,IN,NA,RxNorm
10734,tranylcypromine,DISEASE,Concept,NA,MEDRT
10734,tranylcypromine,DISEASE,IN,NA,RxNorm
10753,tretinoin,DISEASE,Concept,NA,MEDRT
10753,tretinoin,DISEASE,IN,NA,RxNorm
10759,triamcinolone,DISEASE,Concept,NA,MEDRT
10759,triamcinolone,DISEASE,IN,NA,RxNorm
10761,triamcinolone acetonide,DISEASE,Concept,NA,MEDRT
10761,triamcinolone acetonide,DISEASE,PIN,NA,RxNorm
10762,triamcinolone diacetate,DISEASE,Concept,NA,MEDRT
10762,triamcinolone diacetate,DISEASE,PIN,NA,RxNorm
10772,trichlormethiazide,DISEASE,Concept,NA,MEDRT
10772,trichlormethiazide,DISEASE,IN,NA,RxNorm
107771,demecarium,DISEASE,Concept,NA,MEDRT
107771,demecarium,DISEASE,IN,NA,RxNorm
10798,trientine,DISEASE,Concept,NA,MEDRT
10798,trientine,DISEASE,IN,NA,RxNorm
10800,trifluoperazine,DISEASE,Concept,NA,MEDRT
10800,trifluoperazine,DISEASE,IN,NA,RxNorm
10803,trifluridine,DISEASE,Concept,NA,MEDRT
10803,trifluridine,DISEASE,IN,NA,RxNorm
10805,triflupromazine,DISEASE,Concept,NA,MEDRT
10805,triflupromazine,DISEASE,IN,NA,RxNorm
108067,intramuscular immunoglobulin,DISEASE,Concept,NA,MEDRT
108067,intramuscular immunoglobulin,DISEASE,PIN,NA,RxNorm
108088,alclometasone,DISEASE,Concept,NA,MEDRT
108088,alclometasone,DISEASE,IN,NA,RxNorm
10811,trihexyphenidyl,DISEASE,Concept,NA,MEDRT
10811,trihexyphenidyl,DISEASE,IN,NA,RxNorm
108118,mometasone,DISEASE,Concept,NA,MEDRT
108118,mometasone,DISEASE,IN,NA,RxNorm
10814,liothyronine,DISEASE,Concept,NA,MEDRT
10814,liothyronine,DISEASE,IN,NA,RxNorm
10824,metipranolol,DISEASE,Concept,NA,MEDRT
10824,metipranolol,DISEASE,IN,NA,RxNorm
10825,trimeprazine,DISEASE,Concept,NA,MEDRT
10825,trimeprazine,DISEASE,IN,NA,RxNorm
10827,trimethadione,DISEASE,Concept,NA,MEDRT
10827,trimethadione,DISEASE,IN,NA,RxNorm
10829,trimethoprim,DISEASE,Concept,NA,MEDRT
10829,trimethoprim,DISEASE,IN,NA,RxNorm
10844,trioxsalen,DISEASE,Concept,NA,MEDRT
10844,trioxsalen,DISEASE,IN,NA,RxNorm
10847,tripelennamine,DISEASE,Concept,NA,MEDRT
10847,tripelennamine,DISEASE,IN,NA,RxNorm
10849,triprolidine,DISEASE,Concept,NA,MEDRT
10849,triprolidine,DISEASE,IN,NA,RxNorm
10864,troleandomycin,DISEASE,Concept,NA,MEDRT
10864,troleandomycin,DISEASE,IN,NA,RxNorm
1086768,vilazodone hydrochloride,DISEASE,Concept,NA,MEDRT
1086768,vilazodone hydrochloride,DISEASE,PIN,NA,RxNorm
1086769,vilazodone,DISEASE,Concept,NA,MEDRT
1086769,vilazodone,DISEASE,IN,NA,RxNorm
10869,tropicamide,DISEASE,Concept,NA,MEDRT
10869,tropicamide,DISEASE,IN,NA,RxNorm
10890,trypsin,DISEASE,Concept,NA,MEDRT
10890,trypsin,DISEASE,IN,NA,RxNorm
10917,tubocurarine,DISEASE,Concept,NA,MEDRT
10917,tubocurarine,DISEASE,IN,NA,RxNorm
1098413,vandetanib,DISEASE,Concept,NA,MEDRT
1098413,vandetanib,DISEASE,IN,NA,RxNorm
10989,undecylenic acid,DISEASE,Concept,NA,MEDRT
10989,undecylenic acid,DISEASE,PIN,NA,RxNorm
10996,uracil mustard,DISEASE,Concept,NA,MEDRT
10996,uracil mustard,DISEASE,IN,NA,RxNorm
1099727,triprolidine tannate,DISEASE,Concept,NA,MEDRT
1099727,triprolidine tannate,DISEASE,PIN,NA,RxNorm
1100071,abiraterone acetate,DISEASE,Concept,NA,MEDRT
1100071,abiraterone acetate,DISEASE,PIN,NA,RxNorm
1100072,abiraterone,DISEASE,Concept,NA,MEDRT
1100072,abiraterone,DISEASE,IN,NA,RxNorm
11002,urea,DISEASE,Concept,NA,MEDRT
11002,urea,DISEASE,IN,NA,RxNorm
1101333,gabapentin enacarbil,DISEASE,Concept,NA,MEDRT
1101333,gabapentin enacarbil,DISEASE,PIN,NA,RxNorm
1101886,hydroxyprogesterone acetate,DISEASE,Concept,NA,MEDRT
1101886,hydroxyprogesterone acetate,DISEASE,PIN,NA,RxNorm
1102129,boceprevir,DISEASE,Concept,NA,MEDRT
1102129,boceprevir,DISEASE,IN,NA,RxNorm
1102261,telaprevir,DISEASE,Concept,NA,MEDRT
1102261,telaprevir,DISEASE,IN,NA,RxNorm
11055,urokinase,DISEASE,Concept,NA,MEDRT
11055,urokinase,DISEASE,IN,NA,RxNorm
11065,ursodiol,DISEASE,Concept,NA,MEDRT
11065,ursodiol,DISEASE,PIN,NA,RxNorm
1111,arsenic,DISEASE,Concept,NA,MEDRT
1111,arsenic,DISEASE,IN,NA,RxNorm
11118,valproic acid,DISEASE,Concept,NA,MEDRT
11118,valproic acid,DISEASE,PIN,NA,RxNorm
11124,vancomycin,DISEASE,Concept,NA,MEDRT
11124,vancomycin,DISEASE,IN,NA,RxNorm
1112990,ezogabine,DISEASE,Concept,NA,MEDRT
