concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
003N66TS6T,RASAGILINE,EPC,Concept,NA,DailyMed
004F72P8F4,BETHANECHOL,EPC,Concept,NA,DailyMed
005990WHZZ,DEOXYCHOLIC ACID,EPC,Concept,NA,DailyMed
00CR8124AS,ENGLISH SOLE,EPC,Concept,NA,DailyMed
00UK7646FG,CAPSICUM,EPC,Concept,NA,DailyMed
013TE6E4WV,LEDIPASVIR,EPC,Concept,NA,DailyMed
01695YPV36,SWORDFISH,EPC,Concept,NA,DailyMed
0199MV609F,GADOTERIDOL,EPC,Concept,NA,DailyMed
01G73H6H83,HOPS,EPC,Concept,NA,DailyMed
01K63SUP8D,FLUOXETINE,EPC,Concept,NA,DailyMed
01MI4Q9DI3,PILOCARPINE,EPC,Concept,NA,DailyMed
01W430XXSQ,TETRAMETHYLTHIURAM MONOSULFIDE,EPC,Concept,NA,DailyMed
01ZG3TPX31,BUPROPION,EPC,Concept,NA,DailyMed
028LZY775B,VILANTEROL,EPC,Concept,NA,DailyMed
02RVY6X9EC,QUERCUS KELLOGGII POLLEN,EPC,Concept,NA,DailyMed
02WM57RXZJ,BLACK WALNUT,EPC,Concept,NA,DailyMed
030PYR8953,ROPINIROLE,EPC,Concept,NA,DailyMed
030R993R8E,ULMUS PUMILA POLLEN,EPC,Concept,NA,DailyMed
030Y90569U,NEBIVOLOL,EPC,Concept,NA,DailyMed
033KF7V46H,TINIDAZOLE,EPC,Concept,NA,DailyMed
038E5L962W,LIFITEGRAST,EPC,Concept,NA,DailyMed
039LU44I5M,FLOXURIDINE,EPC,Concept,NA,DailyMed
03KSI6WLXH,"NALDEMEDINE",EPC,Concept,NA,DailyMed
03V657ZD3V,METHACHOLINE,EPC,Concept,NA,DailyMed
04079A1RDZ,CYTARABINE,EPC,Concept,NA,DailyMed
042SUA2DS9,PINUS PONDEROSA POLLEN,EPC,Concept,NA,DailyMed
0462Z4S4OZ,OBETICHOLIC ACID,EPC,Concept,NA,DailyMed
046O35D44R,PRILOCAINE,EPC,Concept,NA,DailyMed
048L81261F,DEXRAZOXANE,EPC,Concept,NA,DailyMed
04Q9AIZ7NO,PEMETREXED,EPC,Concept,NA,DailyMed
04ZR38536J,OXALIPLATIN,EPC,Concept,NA,DailyMed
0570F37359,VOXILAPREVIR,EPC,Concept,NA,DailyMed
05S7L91ZTR,CANIS LUPUS FAMILIARIS HAIR,EPC,Concept,NA,DailyMed
05V02F2KDG,ROSIGLITAZONE,EPC,Concept,NA,DailyMed
0619F35CGV,TETRACAINE,EPC,Concept,NA,DailyMed
065C5D077J,SAGE,EPC,Concept,NA,DailyMed
