concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
10114,MOA,Mapped from,FDASPL,NA,10114,MOA
10349,MOA,Mapped from,FDASPL,NA,10349,MOA
10473,MOA,Mapped from,FDASPL,NA,10473,MOA
10798,MOA,Mapped from,FDASPL,NA,10798,MOA
11645,MOA,Mapped from,FDASPL,NA,11645,MOA
118886,MOA,Mapped from,FDASPL,NA,118886,MOA
1305558,MOA,Mapped from,FDASPL,NA,1305558,MOA
1314372,MOA,Mapped from,FDASPL,NA,1314372,MOA
1318915,MOA,Mapped from,FDASPL,NA,1318915,MOA
1331,MOA,Mapped from,FDASPL,NA,1331,MOA
134547,MOA,Mapped from,FDASPL,NA,134547,MOA
1361657,MOA,Mapped from,FDASPL,NA,1361657,MOA
1362737,MOA,Mapped from,FDASPL,NA,1362737,MOA
1363352,MOA,Mapped from,FDASPL,NA,1363352,MOA
1364290,MOA,Mapped from,FDASPL,NA,1364290,MOA
1364429,MOA,Mapped from,FDASPL,NA,1364429,MOA
1370439,MOA,Mapped from,FDASPL,NA,1370439,MOA
1373391,MOA,Mapped from,FDASPL,NA,1373391,MOA
1374802,MOA,Mapped from,FDASPL,NA,1374802,MOA
141626,MOA,Mapped from,FDASPL,NA,141626,MOA
1423270,MOA,Mapped from,FDASPL,NA,1423270,MOA
1425419,MOA,Mapped from,FDASPL,NA,1425419,MOA
1426598,MOA,Mapped from,FDASPL,NA,1426598,MOA
1426853,MOA,Mapped from,FDASPL,NA,1426853,MOA
1426874,MOA,Mapped from,FDASPL,NA,1426874,MOA
1427223,MOA,Mapped from,FDASPL,NA,1427223,MOA
1427224,MOA,Mapped from,FDASPL,NA,1427224,MOA
1431726,MOA,Mapped from,FDASPL,NA,1431726,MOA
1482913,MOA,Mapped from,FDASPL,NA,1482913,MOA
1486025,MOA,Mapped from,FDASPL,NA,1486025,MOA
1488368,MOA,Mapped from,FDASPL,NA,1488368,MOA
1488818,MOA,Mapped from,FDASPL,NA,1488818,MOA
1492940,MOA,Mapped from,FDASPL,NA,1492940,MOA
1512,MOA,Mapped from,FDASPL,NA,1512,MOA
1540828,MOA,Mapped from,FDASPL,NA,1540828,MOA
1545987,MOA,Mapped from,FDASPL,NA,1545987,MOA
1545988,MOA,Mapped from,FDASPL,NA,1545988,MOA
1546223,MOA,Mapped from,FDASPL,NA,1546223,MOA
1546272,MOA,Mapped from,FDASPL,NA,1546272,MOA
1546273,MOA,Mapped from,FDASPL,NA,1546273,MOA
1546277,MOA,Mapped from,FDASPL,NA,1546277,MOA
1546357,MOA,Mapped from,FDASPL,NA,1546357,MOA
1546370,MOA,Mapped from,FDASPL,NA,1546370,MOA
1546414,MOA,Mapped from,FDASPL,NA,1546414,MOA
1546415,MOA,Mapped from,FDASPL,NA,1546415,MOA
1546429,MOA,Mapped from,FDASPL,NA,1546429,MOA
1546434,MOA,Mapped from,FDASPL,NA,1546434,MOA
1546443,MOA,Mapped from,FDASPL,NA,1546443,MOA
1546447,MOA,Mapped from,FDASPL,NA,1546447,MOA
1546451,MOA,Mapped from,FDASPL,NA,1546451,MOA
1546452,MOA,Mapped from,FDASPL,NA,1546452,MOA
1599276,MOA,Mapped from,FDASPL,NA,1599276,MOA
1716203,MOA,Mapped from,FDASPL,NA,1716203,MOA
1716278,MOA,Mapped from,FDASPL,NA,1716278,MOA
1724429,MOA,Mapped from,FDASPL,NA,1724429,MOA
1726081,MOA,Mapped from,FDASPL,NA,1726081,MOA
1745075,MOA,Mapped from,FDASPL,NA,1745075,MOA
1745257,MOA,Mapped from,FDASPL,NA,1745257,MOA
1796118,MOA,Mapped from,FDASPL,NA,1796118,MOA
1811461,MOA,Mapped from,FDASPL,NA,1811461,MOA
1828,MOA,Mapped from,FDASPL,NA,1828,MOA
1895,MOA,Mapped from,FDASPL,NA,1895,MOA
18989,MOA,Mapped from,FDASPL,NA,18989,MOA
197,MOA,Mapped from,FDASPL,NA,197,MOA
2034,MOA,Mapped from,FDASPL,NA,2034,MOA
2048727,MOA,Mapped from,FDASPL,NA,2048727,MOA
2053281,MOA,Mapped from,FDASPL,NA,2053281,MOA
2105,MOA,Mapped from,FDASPL,NA,2105,MOA
214824,MOA,Mapped from,FDASPL,NA,214824,MOA
2197842,MOA,Mapped from,FDASPL,NA,2197842,MOA
221147,MOA,Mapped from,FDASPL,NA,221147,MOA
221946,MOA,Mapped from,FDASPL,NA,221946,MOA
2280602,MOA,Mapped from,FDASPL,NA,2280602,MOA
23066,MOA,Mapped from,FDASPL,NA,23066,MOA
232539,MOA,Mapped from,FDASPL,NA,232539,MOA
2346,MOA,Mapped from,FDASPL,NA,2346,MOA
236381,MOA,Mapped from,FDASPL,NA,236381,MOA
2372221,MOA,Mapped from,FDASPL,NA,2372221,MOA
2374729,MOA,Mapped from,FDASPL,NA,2374729,MOA
2396442,MOA,Mapped from,FDASPL,NA,2396442,MOA
24457,MOA,Mapped from,FDASPL,NA,24457,MOA
2447,MOA,Mapped from,FDASPL,NA,2447,MOA
24902,MOA,Mapped from,FDASPL,NA,24902,MOA
25138,MOA,Mapped from,FDASPL,NA,25138,MOA
2531369,MOA,Mapped from,FDASPL,NA,2531369,MOA
25483,MOA,Mapped from,FDASPL,NA,25483,MOA
2556616,MOA,Mapped from,FDASPL,NA,2556616,MOA
25842,MOA,Mapped from,FDASPL,NA,25842,MOA
2586016,MOA,Mapped from,FDASPL,NA,2586016,MOA
259268,MOA,Mapped from,FDASPL,NA,259268,MOA
259282,MOA,Mapped from,FDASPL,NA,259282,MOA
262323,MOA,Mapped from,FDASPL,NA,262323,MOA
2685,MOA,Mapped from,FDASPL,NA,2685,MOA
272758,MOA,Mapped from,FDASPL,NA,272758,MOA
27291,MOA,Mapped from,FDASPL,NA,27291,MOA
27729,MOA,Mapped from,FDASPL,NA,27729,MOA
27781,MOA,Mapped from,FDASPL,NA,27781,MOA
27792,MOA,Mapped from,FDASPL,NA,27792,MOA
283753,MOA,Mapped from,FDASPL,NA,283753,MOA
28393,MOA,Mapped from,FDASPL,NA,28393,MOA
28395,MOA,Mapped from,FDASPL,NA,28395,MOA
3022,MOA,Mapped from,FDASPL,NA,3022,MOA
3098,MOA,Mapped from,FDASPL,NA,3098,MOA
3131,MOA,Mapped from,FDASPL,NA,3131,MOA
314301,MOA,Mapped from,FDASPL,NA,314301,MOA
317177,MOA,Mapped from,FDASPL,NA,317177,MOA
317675,MOA,Mapped from,FDASPL,NA,317675,MOA
3272,MOA,Mapped from,FDASPL,NA,3272,MOA
3274,MOA,Mapped from,FDASPL,NA,3274,MOA
3275,MOA,Mapped from,FDASPL,NA,3275,MOA
33332,MOA,Mapped from,FDASPL,NA,33332,MOA
33562,MOA,Mapped from,FDASPL,NA,33562,MOA
342965,MOA,Mapped from,FDASPL,NA,342965,MOA
3445,MOA,Mapped from,FDASPL,NA,3445,MOA
3446,MOA,Mapped from,FDASPL,NA,3446,MOA
350374,MOA,Mapped from,FDASPL,NA,350374,MOA
3690,MOA,Mapped from,FDASPL,NA,3690,MOA
3755,MOA,Mapped from,FDASPL,NA,3755,MOA
37776,MOA,Mapped from,FDASPL,NA,37776,MOA
4089,MOA,Mapped from,FDASPL,NA,4089,MOA
41144,MOA,Mapped from,FDASPL,NA,41144,MOA
4125,MOA,Mapped from,FDASPL,NA,4125,MOA
42987,MOA,Mapped from,FDASPL,NA,42987,MOA
46967,MOA,Mapped from,FDASPL,NA,46967,MOA
5531,MOA,Mapped from,FDASPL,NA,5531,MOA
56512,MOA,Mapped from,FDASPL,NA,56512,MOA
5657,MOA,Mapped from,FDASPL,NA,5657,MOA
5775,MOA,Mapped from,FDASPL,NA,5775,MOA
5956,MOA,Mapped from,FDASPL,NA,5956,MOA
5966,MOA,Mapped from,FDASPL,NA,5966,MOA
614373,MOA,Mapped from,FDASPL,NA,614373,MOA
6218,MOA,Mapped from,FDASPL,NA,6218,MOA
632,MOA,Mapped from,FDASPL,NA,632,MOA
6466,MOA,Mapped from,FDASPL,NA,6466,MOA
6628,MOA,Mapped from,FDASPL,NA,6628,MOA
6674,MOA,Mapped from,FDASPL,NA,6674,MOA
6718,MOA,Mapped from,FDASPL,NA,6718,MOA
6765,MOA,Mapped from,FDASPL,NA,6765,MOA
676679,MOA,Mapped from,FDASPL,NA,676679,MOA
6854,MOA,Mapped from,FDASPL,NA,6854,MOA
72901,MOA,Mapped from,FDASPL,NA,72901,MOA
828529,MOA,Mapped from,FDASPL,NA,828529,MOA
84990,MOA,Mapped from,FDASPL,NA,84990,MOA
8702,MOA,Mapped from,FDASPL,NA,8702,MOA
8826,MOA,Mapped from,FDASPL,NA,8826,MOA
968170,MOA,Mapped from,FDASPL,NA,968170,MOA
1298944,MOA,Mapped from,FDASPL,NA,1298944,MOA
1723738,MOA,Mapped from,FDASPL,NA,1723738,MOA
224905,MOA,Mapped from,FDASPL,NA,224905,MOA
2289225,MOA,Mapped from,FDASPL,NA,2289225,MOA
263034,MOA,Mapped from,FDASPL,NA,263034,MOA
318341,MOA,Mapped from,FDASPL,NA,318341,MOA
11170,MOA,Mapped from,FDASPL,NA,11170,MOA
17767,MOA,Mapped from,FDASPL,NA,17767,MOA
233603,MOA,Mapped from,FDASPL,NA,233603,MOA
33910,MOA,Mapped from,FDASPL,NA,33910,MOA
3443,MOA,Mapped from,FDASPL,NA,3443,MOA
4316,MOA,Mapped from,FDASPL,NA,4316,MOA
68503,MOA,Mapped from,FDASPL,NA,68503,MOA
7396,MOA,Mapped from,FDASPL,NA,7396,MOA
7417,MOA,Mapped from,FDASPL,NA,7417,MOA
7426,MOA,Mapped from,FDASPL,NA,7426,MOA
7435,MOA,Mapped from,FDASPL,NA,7435,MOA
1091643,MOA,Mapped from,FDASPL,NA,1091643,MOA
214354,MOA,Mapped from,FDASPL,NA,214354,MOA
321064,MOA,Mapped from,FDASPL,NA,321064,MOA
52175,MOA,Mapped from,FDASPL,NA,52175,MOA
69749,MOA,Mapped from,FDASPL,NA,69749,MOA
73494,MOA,Mapped from,FDASPL,NA,73494,MOA
83515,MOA,Mapped from,FDASPL,NA,83515,MOA
83818,MOA,Mapped from,FDASPL,NA,83818,MOA
1100699,MOA,Mapped from,FDASPL,NA,1100699,MOA
114934,MOA,Mapped from,FDASPL,NA,114934,MOA
1302966,MOA,Mapped from,FDASPL,NA,1302966,MOA
134527,MOA,Mapped from,FDASPL,NA,134527,MOA
1368001,MOA,Mapped from,FDASPL,NA,1368001,MOA
1427179,MOA,Mapped from,FDASPL,NA,1427179,MOA
15202,MOA,Mapped from,FDASPL,NA,15202,MOA
1545989,MOA,Mapped from,FDASPL,NA,1545989,MOA
1546022,MOA,Mapped from,FDASPL,NA,1546022,MOA
1546024,MOA,Mapped from,FDASPL,NA,1546024,MOA
1546030,MOA,Mapped from,FDASPL,NA,1546030,MOA
1546196,MOA,Mapped from,FDASPL,NA,1546196,MOA
1546207,MOA,Mapped from,FDASPL,NA,1546207,MOA
1546356,MOA,Mapped from,FDASPL,NA,1546356,MOA
1546358,MOA,Mapped from,FDASPL,NA,1546358,MOA
1546359,MOA,Mapped from,FDASPL,NA,1546359,MOA
1546377,MOA,Mapped from,FDASPL,NA,1546377,MOA
1546379,MOA,Mapped from,FDASPL,NA,1546379,MOA
1546393,MOA,Mapped from,FDASPL,NA,1546393,MOA
1546400,MOA,Mapped from,FDASPL,NA,1546400,MOA
1597373,MOA,Mapped from,FDASPL,NA,1597373,MOA
1659152,MOA,Mapped from,FDASPL,NA,1659152,MOA
1665684,MOA,Mapped from,FDASPL,NA,1665684,MOA
1723735,MOA,Mapped from,FDASPL,NA,1723735,MOA
1860608,MOA,Mapped from,FDASPL,NA,1860608,MOA
1871173,MOA,Mapped from,FDASPL,NA,1871173,MOA
18867,MOA,Mapped from,FDASPL,NA,18867,MOA
190548,MOA,Mapped from,FDASPL,NA,190548,MOA
1939323,MOA,Mapped from,FDASPL,NA,1939323,MOA
1940635,MOA,Mapped from,FDASPL,NA,1940635,MOA
195088,MOA,Mapped from,FDASPL,NA,195088,MOA
1998,MOA,Mapped from,FDASPL,NA,1998,MOA
2055641,MOA,Mapped from,FDASPL,NA,2055641,MOA
228656,MOA,Mapped from,FDASPL,NA,228656,MOA
343047,MOA,Mapped from,FDASPL,NA,343047,MOA
35208,MOA,Mapped from,FDASPL,NA,35208,MOA
35296,MOA,Mapped from,FDASPL,NA,35296,MOA
358258,MOA,Mapped from,FDASPL,NA,358258,MOA
3827,MOA,Mapped from,FDASPL,NA,3827,MOA
38454,MOA,Mapped from,FDASPL,NA,38454,MOA
460132,MOA,Mapped from,FDASPL,NA,460132,MOA
50166,MOA,Mapped from,FDASPL,NA,50166,MOA
54552,MOA,Mapped from,FDASPL,NA,54552,MOA
593411,MOA,Mapped from,FDASPL,NA,593411,MOA
60819,MOA,Mapped from,FDASPL,NA,60819,MOA
658708,MOA,Mapped from,FDASPL,NA,658708,MOA
809864,MOA,Mapped from,FDASPL,NA,809864,MOA
83395,MOA,Mapped from,FDASPL,NA,83395,MOA
85762,MOA,Mapped from,FDASPL,NA,85762,MOA
991743,MOA,Mapped from,FDASPL,NA,991743,MOA
34345,MOA,Mapped from,FDASPL,NA,34345,MOA
107044,MOA,Mapped from,FDASPL,NA,107044,MOA
1092437,MOA,Mapped from,FDASPL,NA,1092437,MOA
1094833,MOA,Mapped from,FDASPL,NA,1094833,MOA
1112973,MOA,Mapped from,FDASPL,NA,1112973,MOA
1119986,MOA,Mapped from,FDASPL,NA,1119986,MOA
1147320,MOA,Mapped from,FDASPL,NA,1147320,MOA
117055,MOA,Mapped from,FDASPL,NA,117055,MOA
121191,MOA,Mapped from,FDASPL,NA,121191,MOA
1232150,MOA,Mapped from,FDASPL,NA,1232150,MOA
1294580,MOA,Mapped from,FDASPL,NA,1294580,MOA
1366567,MOA,Mapped from,FDASPL,NA,1366567,MOA
1426680,MOA,Mapped from,FDASPL,NA,1426680,MOA
1535218,MOA,Mapped from,FDASPL,NA,1535218,MOA
1547545,MOA,Mapped from,FDASPL,NA,1547545,MOA
1597258,MOA,Mapped from,FDASPL,NA,1597258,MOA
1597876,MOA,Mapped from,FDASPL,NA,1597876,MOA
1599788,MOA,Mapped from,FDASPL,NA,1599788,MOA
1606274,MOA,Mapped from,FDASPL,NA,1606274,MOA
1720597,MOA,Mapped from,FDASPL,NA,1720597,MOA
1721947,MOA,Mapped from,FDASPL,NA,1721947,MOA
1726104,MOA,Mapped from,FDASPL,NA,1726104,MOA
1745099,MOA,Mapped from,FDASPL,NA,1745099,MOA
1746889,MOA,Mapped from,FDASPL,NA,1746889,MOA
1746906,MOA,Mapped from,FDASPL,NA,1746906,MOA
1789837,MOA,Mapped from,FDASPL,NA,1789837,MOA
1792776,MOA,Mapped from,FDASPL,NA,1792776,MOA
1875534,MOA,Mapped from,FDASPL,NA,1875534,MOA
1876366,MOA,Mapped from,FDASPL,NA,1876366,MOA
1919503,MOA,Mapped from,FDASPL,NA,1919503,MOA
1928588,MOA,Mapped from,FDASPL,NA,1928588,MOA
1942950,MOA,Mapped from,FDASPL,NA,1942950,MOA
196102,MOA,Mapped from,FDASPL,NA,196102,MOA
1986438,MOA,Mapped from,FDASPL,NA,1986438,MOA
1987398,MOA,Mapped from,FDASPL,NA,1987398,MOA
1989100,MOA,Mapped from,FDASPL,NA,1989100,MOA
1997443,MOA,Mapped from,FDASPL,NA,1997443,MOA
2043283,MOA,Mapped from,FDASPL,NA,2043283,MOA
2053436,MOA,Mapped from,FDASPL,NA,2053436,MOA
2104604,MOA,Mapped from,FDASPL,NA,2104604,MOA
