concept_code,standard_concept,class_type
N0000000067,C,MOA
N0000000068,C,MOA
N0000000070,C,MOA
N0000000073,C,MOA
N0000000074,C,MOA
N0000000075,C,MOA
N0000000077,C,MOA
N0000000079,C,MOA
N0000000080,C,MOA
N0000000083,C,MOA
N0000000084,C,MOA
N0000000087,C,MOA
N0000000089,C,MOA
N0000000090,C,MOA
N0000000093,C,MOA
N0000000094,C,MOA
N0000000095,C,MOA
N0000000097,C,MOA
N0000000098,C,MOA
N0000000104,C,MOA
N0000000106,C,MOA
N0000000107,C,MOA
N0000000108,C,MOA
N0000000110,C,MOA
N0000000111,C,MOA
N0000000112,C,MOA
N0000000114,C,MOA
N0000000115,C,MOA
N0000000116,C,MOA
N0000000117,C,MOA
N0000000118,C,MOA
N0000000120,C,MOA
N0000000123,C,MOA
N0000000124,C,MOA
N0000000125,C,MOA
N0000000127,C,MOA
N0000000130,C,MOA
N0000000131,C,MOA
N0000000134,C,MOA
N0000000137,C,MOA
N0000000138,C,MOA
N0000000139,C,MOA
N0000000141,C,MOA
N0000000142,C,MOA
N0000000143,C,MOA
N0000000144,C,MOA
N0000000145,C,MOA
N0000000146,C,MOA
N0000000147,C,MOA
N0000000150,C,MOA
N0000000151,C,MOA
N0000000154,C,MOA
N0000000155,C,MOA
N0000000156,C,MOA
N0000000157,C,MOA
N0000000158,C,MOA
N0000000159,C,MOA
N0000000160,C,MOA
N0000000162,C,MOA
N0000000164,C,MOA
N0000000165,C,MOA
N0000000166,C,MOA
N0000000168,C,MOA
N0000000169,C,MOA
N0000000170,C,MOA
N0000000172,C,MOA
N0000000175,C,MOA
N0000000176,C,MOA
N0000000177,C,MOA
N0000000178,C,MOA
N0000000179,C,MOA
N0000000180,C,MOA
N0000000183,C,MOA
N0000000187,C,MOA
N0000000189,C,MOA
N0000000190,C,MOA
N0000000191,C,MOA
N0000000192,C,MOA
N0000000194,C,MOA
N0000000196,C,MOA
N0000000198,C,MOA
N0000000203,C,MOA
N0000000204,C,MOA
N0000000205,C,MOA
N0000000206,C,MOA
N0000000207,C,MOA
N0000000208,C,MOA
N0000000209,C,MOA
N0000000211,C,MOA
N0000000212,C,MOA
N0000000213,C,MOA
N0000000216,C,MOA
N0000000217,C,MOA
N0000000218,C,MOA
N0000000219,C,MOA
N0000000220,C,MOA
N0000000221,C,MOA
N0000000224,C,MOA
N0000000225,C,MOA
N0000000226,C,MOA
N0000000228,C,MOA
N0000000229,C,MOA
N0000000230,C,MOA
N0000000237,C,MOA
N0000000238,C,MOA
N0000000240,C,MOA
N0000000241,C,MOA
N0000000243,C,MOA
N0000000244,C,MOA
N0000000245,C,MOA
N0000000249,C,MOA
N0000000250,C,MOA
N0000000251,C,MOA
N0000000256,C,MOA
N0000000258,C,MOA
N0000008288,C,MOA
N0000009915,C,MOA
N0000009916,C,MOA
N0000009917,C,MOA
N0000009918,C,MOA
N0000009920,C,MOA
N0000009921,C,MOA
N0000009922,C,MOA
N0000009923,C,MOA
N0000009924,C,MOA
N0000009946,C,MOA
N0000009947,C,MOA
N0000009949,C,MOA
N0000009950,C,MOA
N0000009953,C,MOA
N0000009954,C,MOA
N0000009955,C,MOA
N0000009957,C,MOA
