concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
1006258,Apiospora montagnei allergenic extract,PE,IN,NA,RxNorm
1006258,Apiospora montagnei allergenic extract,PE,Concept,NA,SPL
1006310,Aspergillus repens allergenic extract,PE,IN,NA,RxNorm
1006310,Aspergillus repens allergenic extract,PE,Concept,NA,SPL
1006495,Indian wormwood sage pollen extract,PE,IN,NA,RxNorm
1006495,Indian wormwood sage pollen extract,PE,Concept,NA,SPL
1006506,tall oat grass pollen extract,PE,IN,NA,RxNorm
1006506,tall oat grass pollen extract,PE,Concept,NA,SPL
1006510,barley malt allergenic extract,PE,IN,NA,RxNorm
1006510,barley malt allergenic extract,PE,Concept,NA,SPL
1010915,chocolate allergenic extract,PE,IN,NA,RxNorm
1010915,chocolate allergenic extract,PE,Concept,NA,SPL
1010932,leek allergenic extract,PE,IN,NA,RxNorm
1010932,leek allergenic extract,PE,Concept,NA,SPL
1010965,oregano allergenic extract,PE,IN,NA,RxNorm
1010965,oregano allergenic extract,PE,Concept,NA,SPL
1011017,poppy seed allergenic extract,PE,IN,NA,RxNorm
1011017,poppy seed allergenic extract,PE,Concept,NA,SPL
1011021,okra allergenic extract,PE,IN,NA,RxNorm
1011021,okra allergenic extract,PE,Concept,NA,SPL
1011027,parsnip allergenic extract,PE,IN,NA,RxNorm
1011027,parsnip allergenic extract,PE,Concept,NA,SPL
1011043,horseradish allergenic extract,PE,IN,NA,RxNorm
1011043,horseradish allergenic extract,PE,Concept,NA,SPL
1011049,chickpea allergenic extract,PE,IN,NA,RxNorm
1011049,chickpea allergenic extract,PE,Concept,NA,SPL
1011060,lime allergenic extract,PE,IN,NA,RxNorm
1011060,lime allergenic extract,PE,Concept,NA,SPL
1011404,mango allergenic extract,PE,IN,NA,RxNorm
1011404,mango allergenic extract,PE,Concept,NA,SPL
1011412,tangerine allergenic extract,PE,IN,NA,RxNorm
1011412,tangerine allergenic extract,PE,Concept,NA,SPL
1011418,watercress allergenic extract,PE,IN,NA,RxNorm
1011418,watercress allergenic extract,PE,Concept,NA,SPL
1011426,papaya allergenic extract,PE,IN,NA,RxNorm
1011426,papaya allergenic extract,PE,Concept,NA,SPL
1011627,sage leaf allergenic extract,PE,IN,NA,RxNorm
1011627,sage leaf allergenic extract,PE,Concept,NA,SPL
1012026,veal allergenic extract,PE,IN,NA,RxNorm
1012026,veal allergenic extract,PE,Concept,NA,SPL
1012134,sour cherry allergenic extract,PE,IN,NA,RxNorm
1012134,sour cherry allergenic extract,PE,Concept,NA,SPL
1013913,scrub pine pollen extract,PE,IN,NA,RxNorm
1013913,scrub pine pollen extract,PE,Concept,NA,SPL
1013944,water oak pollen extract,PE,IN,NA,RxNorm
1013944,water oak pollen extract,PE,Concept,NA,SPL
1014191,cedar elm pollen extract,PE,IN,NA,RxNorm
1014191,cedar elm pollen extract,PE,Concept,NA,SPL
1014340,Italian rye grass pollen extract,PE,IN,NA,RxNorm
1014340,Italian rye grass pollen extract,PE,Concept,NA,SPL
1014360,longleaf pine pollen extract,PE,IN,NA,RxNorm
1014360,longleaf pine pollen extract,PE,Concept,NA,SPL
1014385,Bermuda grass smut allergenic extract,PE,IN,NA,RxNorm
1014385,Bermuda grass smut allergenic extract,PE,Concept,NA,SPL
1014391,Humicola grisea allergenic extract,PE,IN,NA,RxNorm
1014391,Humicola grisea allergenic extract,PE,Concept,NA,SPL
1014395,Microsporum audouinii allergenic extract,PE,IN,NA,RxNorm
1014395,Microsporum audouinii allergenic extract,PE,Concept,NA,SPL
1014399,microsporum canis allergenic extract,PE,IN,NA,RxNorm
1014399,microsporum canis allergenic extract,PE,Concept,NA,SPL
1014447,yellow sweet clover pollen extract,PE,IN,NA,RxNorm
1014447,yellow sweet clover pollen extract,PE,Concept,NA,SPL
1014690,jack pine pollen extract,PE,IN,NA,RxNorm
1014690,jack pine pollen extract,PE,Concept,NA,SPL
1014707,redwood pollen extract,PE,IN,NA,RxNorm
1014707,redwood pollen extract,PE,Concept,NA,SPL
1014721,California black oak pollen extract,PE,IN,NA,RxNorm
1014721,California black oak pollen extract,PE,Concept,NA,SPL
1014731,Canadian bluegrass pollen extract,PE,IN,NA,RxNorm
1014731,Canadian bluegrass pollen extract,PE,Concept,NA,SPL
1014735,white sweet clover pollen extract,PE,IN,NA,RxNorm
1014735,white sweet clover pollen extract,PE,Concept,NA,SPL
1014739,bitter dock pollen extract,PE,IN,NA,RxNorm
1014739,bitter dock pollen extract,PE,Concept,NA,SPL
1014743,white (mexican) dock pollen extract,PE,IN,NA,RxNorm
1014743,white (mexican) dock pollen extract,PE,Concept,NA,SPL
1014755,western black willow pollen extract,PE,IN,NA,RxNorm
1014755,western black willow pollen extract,PE,Concept,NA,SPL
1014762,balsam poplar pollen extract,PE,IN,NA,RxNorm
1014762,balsam poplar pollen extract,PE,Concept,NA,SPL
1014766,Jerusalem oak pollen extract,PE,IN,NA,RxNorm
1014766,Jerusalem oak pollen extract,PE,Concept,NA,SPL
1014774,cultivated rye grass pollen extract,PE,IN,NA,RxNorm
1014774,cultivated rye grass pollen extract,PE,Concept,NA,SPL
10154,succinylcholine,PE,IN,NA,RxNorm
10154,succinylcholine,PE,Concept,NA,SPL
10391,tetracaine,PE,IN,NA,RxNorm
10391,tetracaine,PE,Concept,NA,SPL
10432,thalidomide,PE,IN,NA,RxNorm
10432,thalidomide,PE,Concept,NA,SPL
1044584,tesamorelin,PE,IN,NA,RxNorm
1044584,tesamorelin,PE,Concept,NA,SPL
1045453,eribulin,PE,IN,NA,RxNorm
1045453,eribulin,PE,Concept,NA,SPL
10472,thimerosal,PE,IN,NA,RxNorm
10472,thimerosal,PE,Concept,NA,SPL
10517,thiram,PE,IN,NA,RxNorm
10517,thiram,PE,Concept,NA,SPL
10528,thrombin,PE,IN,NA,RxNorm
10528,thrombin,PE,Concept,NA,SPL
1056,aprotinin,PE,IN,NA,RxNorm
1056,aprotinin,PE,Concept,NA,SPL
105694,epoetin alfa,PE,IN,NA,RxNorm
105694,epoetin alfa,PE,Concept,NA,SPL
10594,ticlopidine,PE,IN,NA,RxNorm
10594,ticlopidine,PE,Concept,NA,SPL
10691,tranexamic acid,PE,IN,NA,RxNorm
10691,tranexamic acid,PE,Concept,NA,SPL
107044,rabbit anti-human T-lymphocyte globulin,PE,PIN,NA,RxNorm
107044,rabbit anti-human T-lymphocyte globulin,PE,Concept,NA,SPL
10763,triamterene,PE,IN,NA,RxNorm
10763,triamterene,PE,Concept,NA,SPL
1091605,"factor XIII, human",PE,PIN,NA,RxNorm
1091605,"factor XIII, human",PE,Concept,NA,SPL
1091643,azilsartan,PE,IN,NA,RxNorm
1091643,azilsartan,PE,Concept,NA,SPL
1092437,belimumab,PE,IN,NA,RxNorm
1092437,belimumab,PE,Concept,NA,SPL
1094116,creeping bentgrass pollen extract,PE,IN,NA,RxNorm
1094116,creeping bentgrass pollen extract,PE,Concept,NA,SPL
1094193,broomweed pollen extract,PE,IN,NA,RxNorm
1094193,broomweed pollen extract,PE,Concept,NA,SPL
1094833,ipilimumab,PE,IN,NA,RxNorm
1094833,ipilimumab,PE,Concept,NA,SPL
1098118,cultivated barley pollen extract,PE,IN,NA,RxNorm
1098118,cultivated barley pollen extract,PE,Concept,NA,SPL
1098130,narrowleaf marshelder pollen extract,PE,IN,NA,RxNorm
1098130,narrowleaf marshelder pollen extract,PE,Concept,NA,SPL
1098183,largemouth bass allergenic extract,PE,IN,NA,RxNorm
1098183,largemouth bass allergenic extract,PE,Concept,NA,SPL
1098189,osage orange pollen extract,PE,IN,NA,RxNorm
1098189,osage orange pollen extract,PE,Concept,NA,SPL
1098200,Neurospora sitophila allergenic extract,PE,IN,NA,RxNorm
1098200,Neurospora sitophila allergenic extract,PE,Concept,NA,SPL
1098232,littleseed canary grass pollen extract,PE,IN,NA,RxNorm
1098232,littleseed canary grass pollen extract,PE,Concept,NA,SPL
1098257,Douglas fir pollen extract,PE,IN,NA,RxNorm
1098257,Douglas fir pollen extract,PE,Concept,NA,SPL
1098353,orris root allergenic extract,PE,IN,NA,RxNorm
1098353,orris root allergenic extract,PE,Concept,NA,SPL
1098455,Sudan grass pollen extract,PE,IN,NA,RxNorm
1098455,Sudan grass pollen extract,PE,Concept,NA,SPL
1098619,Trichophyton tonsurans allergenic extract,PE,IN,NA,RxNorm
1098619,Trichophyton tonsurans allergenic extract,PE,Concept,NA,SPL
11055,urokinase,PE,IN,NA,RxNorm
11055,urokinase,PE,Concept,NA,SPL
1111024,valley oak pollen extract,PE,IN,NA,RxNorm
1111024,valley oak pollen extract,PE,Concept,NA,SPL
11118,valproic acid,PE,PIN,NA,RxNorm
11118,valproic acid,PE,Concept,NA,SPL
1112973,belatacept,PE,IN,NA,RxNorm
1112973,belatacept,PE,Concept,NA,SPL
1114345,bronopol,PE,IN,NA,RxNorm
1114345,bronopol,PE,Concept,NA,SPL
1116632,ticagrelor,PE,IN,NA,RxNorm
1116632,ticagrelor,PE,Concept,NA,SPL
1116977,American house dust mite allergenic extract,PE,IN,NA,RxNorm
1116977,American house dust mite allergenic extract,PE,Concept,NA,SPL
1116979,European house dust mite allergenic extract,PE,IN,NA,RxNorm
1116979,European house dust mite allergenic extract,PE,Concept,NA,SPL
1117083,weakleaf bur ragweed pollen extract,PE,IN,NA,RxNorm
1117083,weakleaf bur ragweed pollen extract,PE,Concept,NA,SPL
1119986,Centruroides (scorpion) immune F(ab')2 (equine),PE,IN,NA,RxNorm
1119986,Centruroides (scorpion) immune F(ab')2 (equine),PE,Concept,NA,SPL
114477,levetiracetam,PE,IN,NA,RxNorm
114477,levetiracetam,PE,Concept,NA,SPL
1147320,brentuximab vedotin,PE,IN,NA,RxNorm
1147320,brentuximab vedotin,PE,Concept,NA,SPL
118886,verteporfin,PE,IN,NA,RxNorm
118886,verteporfin,PE,Concept,NA,SPL
1192729,Colletotrichum coccodes allergenic extract,PE,IN,NA,RxNorm
1192729,Colletotrichum coccodes allergenic extract,PE,Concept,NA,SPL
1192968,Hypomyces perniciosus allergenic extract,PE,IN,NA,RxNorm
1192968,Hypomyces perniciosus allergenic extract,PE,Concept,NA,SPL
1192987,parakeet feather allergenic extract,PE,IN,NA,RxNorm
1192987,parakeet feather allergenic extract,PE,Concept,NA,SPL
1192992,Microascus brevicaulis allergenic extract,PE,IN,NA,RxNorm
