concept_code,standard_concept,class_type
N0000008290,C,PE
N0000008291,C,PE
N0000008292,C,PE
N0000008293,C,PE
N0000008294,C,PE
N0000008295,C,PE
N0000008296,C,PE
N0000008297,C,PE
N0000008301,C,PE
N0000008303,C,PE
N0000008304,C,PE
N0000008305,C,PE
N0000008306,C,PE
N0000008308,C,PE
N0000008309,C,PE
N0000008311,C,PE
N0000008312,C,PE
N0000008313,C,PE
N0000008314,C,PE
N0000008317,C,PE
N0000008319,C,PE
N0000008322,C,PE
N0000008327,C,PE
N0000008333,C,PE
N0000008334,C,PE
N0000008336,C,PE
N0000008337,C,PE
N0000008338,C,PE
N0000008339,C,PE
N0000008340,C,PE
N0000008341,C,PE
N0000008342,C,PE
N0000008343,C,PE
N0000008344,C,PE
N0000008345,C,PE
N0000008346,C,PE
N0000008347,C,PE
N0000008348,C,PE
N0000008349,C,PE
N0000008350,C,PE
N0000008351,C,PE
N0000008352,C,PE
N0000008353,C,PE
N0000008354,C,PE
N0000008358,C,PE
N0000008359,C,PE
N0000008360,C,PE
N0000008361,C,PE
N0000008364,C,PE
N0000008365,C,PE
N0000008367,C,PE
N0000008368,C,PE
N0000008369,C,PE
N0000008370,C,PE
N0000008371,C,PE
N0000008373,C,PE
N0000008375,C,PE
N0000008376,C,PE
N0000008377,C,PE
N0000008378,C,PE
N0000008379,C,PE
N0000008380,C,PE
N0000008383,C,PE
N0000008384,C,PE
N0000008390,C,PE
N0000008394,C,PE
N0000008412,C,PE
N0000008413,C,PE
N0000008420,C,PE
N0000008421,C,PE
N0000008423,C,PE
N0000008431,C,PE
N0000008445,C,PE
N0000008447,C,PE
N0000008452,C,PE
N0000008453,C,PE
N0000008472,C,PE
N0000008476,C,PE
N0000008477,C,PE
N0000008478,C,PE
N0000008479,C,PE
N0000008480,C,PE
N0000008481,C,PE
N0000008482,C,PE
N0000008487,C,PE
N0000008492,C,PE
N0000008494,C,PE
N0000008496,C,PE
N0000008500,C,PE
N0000008502,C,PE
N0000008503,C,PE
N0000008524,C,PE
N0000008547,C,PE
N0000008553,C,PE
N0000008555,C,PE
N0000008557,C,PE
N0000008562,C,PE
N0000008567,C,PE
N0000008568,C,PE
N0000008570,C,PE
N0000008571,C,PE
N0000008573,C,PE
N0000008574,C,PE
N0000008576,C,PE
N0000008577,C,PE
N0000008579,C,PE
N0000008581,C,PE
N0000008583,C,PE
N0000008585,C,PE
N0000008586,C,PE
N0000008588,C,PE
N0000008590,C,PE
N0000008592,C,PE
N0000008595,C,PE
N0000008596,C,PE
N0000008597,C,PE
N0000008610,C,PE
N0000008620,C,PE
N0000008623,C,PE
N0000008625,C,PE
N0000008628,C,PE
N0000008629,C,PE
N0000008630,C,PE
N0000008631,C,PE
N0000008632,C,PE
N0000008637,C,PE
N0000008638,C,PE
N0000008640,C,PE
N0000008642,C,PE
N0000008644,C,PE
N0000008645,C,PE
N0000008646,C,PE
N0000008647,C,PE
N0000008648,C,PE
N0000008650,C,PE
N0000008651,C,PE
N0000008652,C,PE
N0000008654,C,PE
N0000008657,C,PE
N0000008658,C,PE
N0000008659,C,PE
N0000008660,C,PE
N0000008661,C,PE
N0000008662,C,PE
N0000008664,C,PE
N0000008665,C,PE
N0000008666,C,PE
N0000008667,C,PE
N0000008669,C,PE
N0000008670,C,PE
N0000008675,C,PE
N0000008676,C,PE
N0000008679,C,PE
N0000008680,C,PE
N0000008681,C,PE
N0000008683,C,PE
N0000008684,C,PE
N0000008686,C,PE
N0000008687,C,PE
N0000008688,C,PE
N0000008699,C,PE
N0000008700,C,PE
N0000008704,C,PE
N0000008707,C,PE
N0000008727,C,PE
N0000008731,C,PE
N0000008732,C,PE
N0000008735,C,PE
N0000008750,C,PE
N0000008754,C,PE
N0000008759,C,PE
N0000008761,C,PE
N0000008764,C,PE
N0000008767,C,PE
N0000008769,C,PE
N0000008770,C,PE
N0000008777,C,PE
N0000008779,C,PE
N0000008802,C,PE
N0000008812,C,PE
N0000008820,C,PE
N0000008821,C,PE
