concept_code,concept_name,class_type,concept_class_id,standard_concept,vocabulary_id
1000082,alcaftadine,PE,Concept,NA,MEDRT
1000082,alcaftadine,PE,IN,NA,RxNorm
1000104,incobotulinumtoxinA,PE,Concept,NA,MEDRT
1000104,incobotulinumtoxinA,PE,PIN,NA,RxNorm
1000112,medroxyprogesterone acetate,PE,Concept,NA,MEDRT
1000112,medroxyprogesterone acetate,PE,PIN,NA,RxNorm
1000146,estradiol cypionate,PE,Concept,NA,MEDRT
1000146,estradiol cypionate,PE,PIN,NA,RxNorm
1001,antipyrine,PE,Concept,NA,MEDRT
1001,antipyrine,PE,IN,NA,RxNorm
100272,Lactobacillus delbrueckii subsp. bulgaricus,PE,Concept,NA,MEDRT
100272,Lactobacillus delbrueckii subsp. bulgaricus,PE,IN,NA,RxNorm
100278,Lacticaseibacillus rhamnosus,PE,Concept,NA,MEDRT
100278,Lacticaseibacillus rhamnosus,PE,IN,NA,RxNorm
10030,stannous fluoride,PE,Concept,NA,MEDRT
10030,stannous fluoride,PE,IN,NA,RxNorm
10032,stanozolol,PE,Concept,NA,MEDRT
10032,stanozolol,PE,IN,NA,RxNorm
1005920,ulipristal acetate,PE,Concept,NA,MEDRT
1005920,ulipristal acetate,PE,PIN,NA,RxNorm
1005921,ulipristal,PE,Concept,NA,MEDRT
1005921,ulipristal,PE,IN,NA,RxNorm
1010598,naloxone hydrochloride dihydrate,PE,Concept,NA,MEDRT
1010598,naloxone hydrochloride dihydrate,PE,PIN,NA,RxNorm
10106,streptokinase,PE,Concept,NA,MEDRT
10106,streptokinase,PE,IN,NA,RxNorm
10109,streptomycin,PE,Concept,NA,MEDRT
10109,streptomycin,PE,IN,NA,RxNorm
10110,streptomycin sulfate,PE,Concept,NA,MEDRT
10110,streptomycin sulfate,PE,PIN,NA,RxNorm
10114,streptozocin,PE,Concept,NA,MEDRT
10114,streptozocin,PE,IN,NA,RxNorm
1012891,fingolimod hydrochloride,PE,Concept,NA,MEDRT
1012891,fingolimod hydrochloride,PE,PIN,NA,RxNorm
1012892,fingolimod,PE,Concept,NA,MEDRT
1012892,fingolimod,PE,IN,NA,RxNorm
101299,amphotericin B colloidal dispersion,PE,Concept,NA,MEDRT
101299,amphotericin B colloidal dispersion,PE,PIN,NA,RxNorm
10168,sulbenicillin,PE,Concept,NA,MEDRT
10168,sulbenicillin,PE,IN,NA,RxNorm
10169,sulfacetamide,PE,Concept,NA,MEDRT
10169,sulfacetamide,PE,IN,NA,RxNorm
10171,sulfadiazine,PE,Concept,NA,MEDRT
10171,sulfadiazine,PE,IN,NA,RxNorm
10173,sulfadoxine,PE,Concept,NA,MEDRT
10173,sulfadoxine,PE,IN,NA,RxNorm
10179,sulfamethizole,PE,Concept,NA,MEDRT
10179,sulfamethizole,PE,IN,NA,RxNorm
10180,sulfamethoxazole,PE,Concept,NA,MEDRT
10180,sulfamethoxazole,PE,IN,NA,RxNorm
10184,sulfanilamide,PE,Concept,NA,MEDRT
10184,sulfanilamide,PE,IN,NA,RxNorm
10188,sulfapyridine,PE,Concept,NA,MEDRT
10188,sulfapyridine,PE,IN,NA,RxNorm
10193,sulfathiazole,PE,Concept,NA,MEDRT
10193,sulfathiazole,PE,IN,NA,RxNorm
10205,sulfinpyrazone,PE,Concept,NA,MEDRT
10205,sulfinpyrazone,PE,IN,NA,RxNorm
10207,sulfisoxazole,PE,Concept,NA,MEDRT
10207,sulfisoxazole,PE,IN,NA,RxNorm
10208,sulfisoxazole diolamine,PE,Concept,NA,MEDRT
10208,sulfisoxazole diolamine,PE,PIN,NA,RxNorm
102313,metoprolol fumarate,PE,Concept,NA,MEDRT
102313,metoprolol fumarate,PE,PIN,NA,RxNorm
10237,sulindac,PE,Concept,NA,MEDRT
10237,sulindac,PE,IN,NA,RxNorm
102397,isoetharine hydrochloride,PE,Concept,NA,MEDRT
102397,isoetharine hydrochloride,PE,PIN,NA,RxNorm
1025342,levomefolic acid,PE,Concept,NA,MEDRT
1025342,levomefolic acid,PE,PIN,NA,RxNorm
10255,suprofen,PE,Concept,NA,MEDRT
10255,suprofen,PE,IN,NA,RxNorm
102758,clomocycline sodium,PE,Concept,NA,MEDRT
