concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1094833,PE,Mapped from,MEDRT,NA,1094833,PE
1182,PE,Mapped from,MEDRT,NA,1182,PE
125933,PE,Mapped from,MEDRT,NA,125933,PE
1307717,PE,Mapped from,MEDRT,NA,1307717,PE
1309229,PE,Mapped from,MEDRT,NA,1309229,PE
1309236,PE,Mapped from,MEDRT,NA,1309236,PE
1309373,PE,Mapped from,MEDRT,NA,1309373,PE
1310189,PE,Mapped from,MEDRT,NA,1310189,PE
1315115,PE,Mapped from,MEDRT,NA,1315115,PE
1354504,PE,Mapped from,MEDRT,NA,1354504,PE
1364291,PE,Mapped from,MEDRT,NA,1364291,PE
1364295,PE,Mapped from,MEDRT,NA,1364295,PE
1364462,PE,Mapped from,MEDRT,NA,1364462,PE
1368197,PE,Mapped from,MEDRT,NA,1368197,PE
1370469,PE,Mapped from,MEDRT,NA,1370469,PE
1372258,PE,Mapped from,MEDRT,NA,1372258,PE
1373895,PE,Mapped from,MEDRT,NA,1373895,PE
1427046,PE,Mapped from,MEDRT,NA,1427046,PE
1440973,PE,Mapped from,MEDRT,NA,1440973,PE
1440974,PE,Mapped from,MEDRT,NA,1440974,PE
1441652,PE,Mapped from,MEDRT,NA,1441652,PE
1726104,PE,Mapped from,MEDRT,NA,1726104,PE
1742530,PE,Mapped from,MEDRT,NA,1742530,PE
1812932,PE,Mapped from,MEDRT,NA,1812932,PE
18235,PE,Mapped from,MEDRT,NA,18235,PE
1925834,PE,Mapped from,MEDRT,NA,1925834,PE
196238,PE,Mapped from,MEDRT,NA,196238,PE
1963,PE,Mapped from,MEDRT,NA,1963,PE
1992412,PE,Mapped from,MEDRT,NA,1992412,PE
21389,PE,Mapped from,MEDRT,NA,21389,PE
214355,PE,Mapped from,MEDRT,NA,214355,PE
221082,PE,Mapped from,MEDRT,NA,221082,PE
236782,PE,Mapped from,MEDRT,NA,236782,PE
253190,PE,Mapped from,MEDRT,NA,253190,PE
259266,PE,Mapped from,MEDRT,NA,259266,PE
285241,PE,Mapped from,MEDRT,NA,285241,PE
285245,PE,Mapped from,MEDRT,NA,285245,PE
285251,PE,Mapped from,MEDRT,NA,285251,PE
287515,PE,Mapped from,MEDRT,NA,287515,PE
314324,PE,Mapped from,MEDRT,NA,314324,PE
314365,PE,Mapped from,MEDRT,NA,314365,PE
314411,PE,Mapped from,MEDRT,NA,314411,PE
314415,PE,Mapped from,MEDRT,NA,314415,PE
314428,PE,Mapped from,MEDRT,NA,314428,PE
314443,PE,Mapped from,MEDRT,NA,314443,PE
314470,PE,Mapped from,MEDRT,NA,314470,PE
314488,PE,Mapped from,MEDRT,NA,314488,PE
314605,PE,Mapped from,MEDRT,NA,314605,PE
314753,PE,Mapped from,MEDRT,NA,314753,PE
317857,PE,Mapped from,MEDRT,NA,317857,PE
318224,PE,Mapped from,MEDRT,NA,318224,PE
319823,PE,Mapped from,MEDRT,NA,319823,PE
319826,PE,Mapped from,MEDRT,NA,319826,PE
349978,PE,Mapped from,MEDRT,NA,349978,PE
466192,PE,Mapped from,MEDRT,NA,466192,PE
466195,PE,Mapped from,MEDRT,NA,466195,PE
466197,PE,Mapped from,MEDRT,NA,466197,PE
466198,PE,Mapped from,MEDRT,NA,466198,PE
579598,PE,Mapped from,MEDRT,NA,579598,PE
6111,PE,Mapped from,MEDRT,NA,6111,PE
637366,PE,Mapped from,MEDRT,NA,637366,PE
70223,PE,Mapped from,MEDRT,NA,70223,PE
72257,PE,Mapped from,MEDRT,NA,72257,PE
72258,PE,Mapped from,MEDRT,NA,72258,PE
72385,PE,Mapped from,MEDRT,NA,72385,PE
75917,PE,Mapped from,MEDRT,NA,75917,PE
7624,PE,Mapped from,MEDRT,NA,7624,PE
851870,PE,Mapped from,MEDRT,NA,851870,PE
851906,PE,Mapped from,MEDRT,NA,851906,PE
