concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1363043,VA,Mapped from,VA,NA,4009769,VA
577312,VA,Mapped from,VA,NA,4009123,VA
90732,VA,Mapped from,VA,NA,4005590,VA
2129,VA,Mapped from,VA,NA,4008463,VA
258439,VA,Mapped from,VA,NA,4009127,VA
32926,VA,Mapped from,VA,NA,4001272,VA
1007537,VA,Mapped from,VA,NA,4017099,VA
1305608,VA,Mapped from,VA,NA,4017007,VA
1305653,VA,Mapped from,VA,NA,4016017,VA
1305661,VA,Mapped from,VA,NA,4015995,VA
1307580,VA,Mapped from,VA,NA,4025374,VA
1309206,VA,Mapped from,VA,NA,4025385,VA
1309213,VA,Mapped from,VA,NA,4025357,VA
1309236,VA,Mapped from,VA,NA,4016014,VA
1309245,VA,Mapped from,VA,NA,4025352,VA
1309373,VA,Mapped from,VA,NA,4025365,VA
1358977,VA,Mapped from,VA,NA,4017225,VA
1360631,VA,Mapped from,VA,NA,4025356,VA
1431224,VA,Mapped from,VA,NA,4017224,VA
2118124,VA,Mapped from,VA,NA,4025364,VA
221916,VA,Mapped from,VA,NA,4009759,VA
28486,VA,Mapped from,VA,NA,4025354,VA
285160,VA,Mapped from,VA,NA,4025382,VA
350489,VA,Mapped from,VA,NA,4025376,VA
485876,VA,Mapped from,VA,NA,4017300,VA
705279,VA,Mapped from,VA,NA,4026003,VA
90945,VA,Mapped from,VA,NA,4017003,VA
90950,VA,Mapped from,VA,NA,4025347,VA
1039062,VA,Mapped from,VA,NA,4010525,VA
107129,VA,Mapped from,VA,NA,4003007,VA
1305638,VA,Mapped from,VA,NA,4009800,VA
1305651,VA,Mapped from,VA,NA,4032020,VA
1309229,VA,Mapped from,VA,NA,4009803,VA
1309243,VA,Mapped from,VA,NA,4009766,VA
1309250,VA,Mapped from,VA,NA,4010025,VA
1309376,VA,Mapped from,VA,NA,4009804,VA
1356,VA,Mapped from,VA,NA,4009746,VA
239351,VA,Mapped from,VA,NA,4009545,VA
33094,VA,Mapped from,VA,NA,4017009,VA
587318,VA,Mapped from,VA,NA,4010220,VA
59087,VA,Mapped from,VA,NA,4008142,VA
6404,VA,Mapped from,VA,NA,4009793,VA
7624,VA,Mapped from,VA,NA,4009805,VA
7906,VA,Mapped from,VA,NA,4025048,VA
8514,VA,Mapped from,VA,NA,4010510,VA
90926,VA,Mapped from,VA,NA,4009801,VA
9515,VA,Mapped from,VA,NA,4026083,VA
2669,VA,Mapped from,VA,NA,4009442,VA
4009769,VA,Maps to,VA,NA,1363043,VA
4009123,VA,Maps to,VA,NA,577312,VA
4005590,VA,Maps to,VA,NA,90732,VA
4008463,VA,Maps to,VA,NA,2129,VA
4009127,VA,Maps to,VA,NA,258439,VA
4001272,VA,Maps to,VA,NA,32926,VA
4017099,VA,Maps to,VA,NA,1007537,VA
4017007,VA,Maps to,VA,NA,1305608,VA
4016017,VA,Maps to,VA,NA,1305653,VA
4015995,VA,Maps to,VA,NA,1305661,VA
4025374,VA,Maps to,VA,NA,1307580,VA
4025385,VA,Maps to,VA,NA,1309206,VA
4025357,VA,Maps to,VA,NA,1309213,VA
4016014,VA,Maps to,VA,NA,1309236,VA
4025352,VA,Maps to,VA,NA,1309245,VA
4025365,VA,Maps to,VA,NA,1309373,VA
4017225,VA,Maps to,VA,NA,1358977,VA
4025356,VA,Maps to,VA,NA,1360631,VA
4017224,VA,Maps to,VA,NA,1431224,VA
4025364,VA,Maps to,VA,NA,2118124,VA
4009759,VA,Maps to,VA,NA,221916,VA
4025354,VA,Maps to,VA,NA,28486,VA
4025382,VA,Maps to,VA,NA,285160,VA
4025376,VA,Maps to,VA,NA,350489,VA
4017300,VA,Maps to,VA,NA,485876,VA
4026003,VA,Maps to,VA,NA,705279,VA
4017003,VA,Maps to,VA,NA,90945,VA
4025347,VA,Maps to,VA,NA,90950,VA
4010525,VA,Maps to,VA,NA,1039062,VA
4003007,VA,Maps to,VA,NA,107129,VA
4009800,VA,Maps to,VA,NA,1305638,VA
4032020,VA,Maps to,VA,NA,1305651,VA
4009803,VA,Maps to,VA,NA,1309229,VA
4009766,VA,Maps to,VA,NA,1309243,VA
4010025,VA,Maps to,VA,NA,1309250,VA
4009804,VA,Maps to,VA,NA,1309376,VA
4009746,VA,Maps to,VA,NA,1356,VA
4009545,VA,Maps to,VA,NA,239351,VA
4017009,VA,Maps to,VA,NA,33094,VA
4010220,VA,Maps to,VA,NA,587318,VA
4008142,VA,Maps to,VA,NA,59087,VA
4009793,VA,Maps to,VA,NA,6404,VA
4009805,VA,Maps to,VA,NA,7624,VA
4025048,VA,Maps to,VA,NA,7906,VA
4010510,VA,Maps to,VA,NA,8514,VA
4009801,VA,Maps to,VA,NA,90926,VA
4026083,VA,Maps to,VA,NA,9515,VA
4009442,VA,Maps to,VA,NA,2669,VA
CN000,VA,Subsumes,VA,INDIRECT,1363043,VA
CN200,VA,Subsumes,VA,INDIRECT,1363043,VA
CN201,VA,Subsumes,VA,DIRECT,1363043,VA
DE000,VA,Subsumes,VA,INDIRECT,577312,VA
DE000,VA,Subsumes,VA,INDIRECT,90732,VA
DE800,VA,Subsumes,VA,INDIRECT,90732,VA
DE820,VA,Subsumes,VA,DIRECT,90732,VA
DE900,VA,Subsumes,VA,DIRECT,577312,VA
GA000,VA,Subsumes,VA,INDIRECT,2129,VA
GA000,VA,Subsumes,VA,INDIRECT,258439,VA
GA000,VA,Subsumes,VA,INDIRECT,32926,VA
GA200,VA,Subsumes,VA,INDIRECT,2129,VA
GA200,VA,Subsumes,VA,INDIRECT,258439,VA
GA203,VA,Subsumes,VA,DIRECT,258439,VA
GA204,VA,Subsumes,VA,DIRECT,2129,VA
GA208,VA,Subsumes,VA,DIRECT,32926,VA
HA000,VA,Subsumes,VA,DIRECT,1007537,VA
HA000,VA,Subsumes,VA,DIRECT,1305608,VA
HA000,VA,Subsumes,VA,DIRECT,1305653,VA
HA000,VA,Subsumes,VA,DIRECT,1305661,VA
HA000,VA,Subsumes,VA,DIRECT,1307580,VA
HA000,VA,Subsumes,VA,DIRECT,1309206,VA
HA000,VA,Subsumes,VA,DIRECT,1309213,VA
HA000,VA,Subsumes,VA,DIRECT,1309236,VA
HA000,VA,Subsumes,VA,DIRECT,1309245,VA
HA000,VA,Subsumes,VA,DIRECT,1309373,VA
HA000,VA,Subsumes,VA,DIRECT,1358977,VA
HA000,VA,Subsumes,VA,DIRECT,1360631,VA
HA000,VA,Subsumes,VA,DIRECT,1431224,VA
HA000,VA,Subsumes,VA,DIRECT,2118124,VA
HA000,VA,Subsumes,VA,DIRECT,221916,VA
HA000,VA,Subsumes,VA,DIRECT,28486,VA
HA000,VA,Subsumes,VA,DIRECT,285160,VA
HA000,VA,Subsumes,VA,DIRECT,350489,VA
HA000,VA,Subsumes,VA,DIRECT,485876,VA
HA000,VA,Subsumes,VA,DIRECT,705279,VA
HA000,VA,Subsumes,VA,DIRECT,90945,VA
HA000,VA,Subsumes,VA,DIRECT,90950,VA
PH000,VA,Subsumes,VA,DIRECT,1039062,VA
PH000,VA,Subsumes,VA,DIRECT,107129,VA
PH000,VA,Subsumes,VA,DIRECT,1305638,VA
PH000,VA,Subsumes,VA,DIRECT,1305651,VA
PH000,VA,Subsumes,VA,DIRECT,1309229,VA
PH000,VA,Subsumes,VA,DIRECT,1309243,VA
PH000,VA,Subsumes,VA,DIRECT,1309250,VA
PH000,VA,Subsumes,VA,DIRECT,1309376,VA
PH000,VA,Subsumes,VA,DIRECT,1356,VA
PH000,VA,Subsumes,VA,DIRECT,239351,VA
PH000,VA,Subsumes,VA,DIRECT,33094,VA
PH000,VA,Subsumes,VA,DIRECT,587318,VA
PH000,VA,Subsumes,VA,DIRECT,59087,VA
PH000,VA,Subsumes,VA,DIRECT,6404,VA
PH000,VA,Subsumes,VA,DIRECT,7624,VA
PH000,VA,Subsumes,VA,DIRECT,7906,VA
PH000,VA,Subsumes,VA,DIRECT,8514,VA
PH000,VA,Subsumes,VA,DIRECT,90926,VA
PH000,VA,Subsumes,VA,DIRECT,9515,VA
VA000,VA,Subsumes,VA,INDIRECT,1007537,VA
VA000,VA,Subsumes,VA,INDIRECT,1039062,VA
VA000,VA,Subsumes,VA,INDIRECT,107129,VA
VA000,VA,Subsumes,VA,INDIRECT,1305608,VA
VA000,VA,Subsumes,VA,INDIRECT,1305638,VA
VA000,VA,Subsumes,VA,INDIRECT,1305651,VA
VA000,VA,Subsumes,VA,INDIRECT,1305653,VA
VA000,VA,Subsumes,VA,INDIRECT,1305661,VA
VA000,VA,Subsumes,VA,INDIRECT,1307580,VA
VA000,VA,Subsumes,VA,INDIRECT,1309206,VA
VA000,VA,Subsumes,VA,INDIRECT,1309213,VA
VA000,VA,Subsumes,VA,INDIRECT,1309229,VA
VA000,VA,Subsumes,VA,INDIRECT,1309236,VA
VA000,VA,Subsumes,VA,INDIRECT,1309243,VA
VA000,VA,Subsumes,VA,INDIRECT,1309245,VA
VA000,VA,Subsumes,VA,INDIRECT,1309250,VA
VA000,VA,Subsumes,VA,INDIRECT,1309373,VA
VA000,VA,Subsumes,VA,INDIRECT,1309376,VA
VA000,VA,Subsumes,VA,INDIRECT,1356,VA
VA000,VA,Subsumes,VA,INDIRECT,1358977,VA
VA000,VA,Subsumes,VA,INDIRECT,1360631,VA
VA000,VA,Subsumes,VA,INDIRECT,1363043,VA
VA000,VA,Subsumes,VA,INDIRECT,1431224,VA
VA000,VA,Subsumes,VA,INDIRECT,2118124,VA
VA000,VA,Subsumes,VA,INDIRECT,2129,VA
VA000,VA,Subsumes,VA,INDIRECT,221916,VA
VA000,VA,Subsumes,VA,INDIRECT,239351,VA
VA000,VA,Subsumes,VA,INDIRECT,258439,VA
VA000,VA,Subsumes,VA,INDIRECT,2669,VA
VA000,VA,Subsumes,VA,INDIRECT,28486,VA
VA000,VA,Subsumes,VA,INDIRECT,285160,VA
VA000,VA,Subsumes,VA,INDIRECT,32926,VA
VA000,VA,Subsumes,VA,INDIRECT,33094,VA
VA000,VA,Subsumes,VA,INDIRECT,350489,VA
VA000,VA,Subsumes,VA,INDIRECT,485876,VA
VA000,VA,Subsumes,VA,INDIRECT,577312,VA
VA000,VA,Subsumes,VA,INDIRECT,587318,VA
VA000,VA,Subsumes,VA,INDIRECT,59087,VA
VA000,VA,Subsumes,VA,INDIRECT,6404,VA
VA000,VA,Subsumes,VA,INDIRECT,705279,VA
VA000,VA,Subsumes,VA,INDIRECT,7624,VA
VA000,VA,Subsumes,VA,INDIRECT,7906,VA
VA000,VA,Subsumes,VA,INDIRECT,8514,VA
VA000,VA,Subsumes,VA,INDIRECT,90732,VA
VA000,VA,Subsumes,VA,INDIRECT,90926,VA
VA000,VA,Subsumes,VA,INDIRECT,90945,VA
VA000,VA,Subsumes,VA,INDIRECT,90950,VA
VA000,VA,Subsumes,VA,INDIRECT,9515,VA
VT000,VA,Subsumes,VA,INDIRECT,2669,VA
VT800,VA,Subsumes,VA,INDIRECT,2669,VA
VT801,VA,Subsumes,VA,DIRECT,2669,VA
