rxcui,name,tty,SourceId,SourceName,Relation,classId
2555,cisplatin,IN,Q20Q21Q62J,CISPLATIN,DIRECT,N0000175413
32592,oxaliplatin,IN,04ZR38536J,OXALIPLATIN,DIRECT,N0000175413
40048,carboplatin,IN,BG3F62OND5,CARBOPLATIN,DIRECT,N0000175413
3109,daunorubicin,IN,ZS7284E0ZP,DAUNORUBICIN,DIRECT,N0000175414
3639,doxorubicin,IN,80168379AG,DOXORUBICIN,DIRECT,N0000175414
3995,epirubicin,IN,3Z8479ZZ5X,EPIRUBICIN,DIRECT,N0000175414
5650,idarubicin,IN,ZRP63D75JW,IDARUBICIN,DIRECT,N0000175414
28004,isosorbide mononitrate,PIN,LX1OH63030,ISOSORBIDE MONONITRATE,DIRECT,N0000175415
4917,nitroglycerin,IN,G59M7S0WS3,NITROGLYCERIN,DIRECT,N0000175415
6058,isosorbide dinitrate,IN,IA7306519N,ISOSORBIDE DINITRATE,DIRECT,N0000175415
343048,treprostinil,IN,RUM6K67ESG,TREPROSTINIL,DIRECT,N0000175416
8814,epoprostenol,IN,DCR9Z582X0,EPOPROSTENOL,DIRECT,N0000175416
10763,triamterene,IN,WS821Z52LQ,TRIAMTERENE,DIRECT,N0000175418
644,amiloride,IN,7DZO8EB0Z3,AMILORIDE,DIRECT,N0000175418
1369,bendroflumethiazide,IN,5Q52X6ICJI,BENDROFLUMETHIAZIDE,DIRECT,N0000175419
2396,chlorothiazide,IN,77W477J15H,CHLOROTHIAZIDE,DIRECT,N0000175419
5487,hydrochlorothiazide,IN,0J48LPH2TH,HYDROCHLOROTHIAZIDE,DIRECT,N0000175419
5495,hydroflumethiazide,IN,501CFL162R,HYDROFLUMETHIAZIDE,DIRECT,N0000175419
8565,polythiazide,IN,36780APV5N,POLYTHIAZIDE,DIRECT,N0000175419
2409,chlorthalidone,IN,Q0MQD1073Q,CHLORTHALIDONE,DIRECT,N0000175420
5764,indapamide,IN,F089I0511L,INDAPAMIDE,DIRECT,N0000175420
6916,metolazone,IN,TZ7V40X7VX,METOLAZONE,DIRECT,N0000175420
17767,amlodipine,IN,1J444QC288,AMLODIPINE,DIRECT,N0000175421
233603,clevidipine,IN,19O2GP3B7Q,CLEVIDIPINE,DIRECT,N0000175421
33910,isradipine,IN,YO1UK1S598,ISRADIPINE,DIRECT,N0000175421
