rxcui,name,tty,SourceId,SourceName,Relation,classId
1363043,ethyl ether,IN,4009769,ETHER,INDIRECT,CN000
1363043,ethyl ether,IN,4009769,ETHER,INDIRECT,CN200
1363043,ethyl ether,IN,4009769,ETHER,DIRECT,CN201
577312,"mineral oil, light",IN,4009123,"MINERAL OIL,LIGHT",INDIRECT,DE000
90732,coal tar pitch volatiles,PIN,4005590,COAL TAR DISTILLATE,INDIRECT,DE000
90732,coal tar pitch volatiles,PIN,4005590,COAL TAR DISTILLATE,INDIRECT,DE800
90732,coal tar pitch volatiles,PIN,4005590,COAL TAR DISTILLATE,DIRECT,DE820
577312,"mineral oil, light",IN,4009123,"MINERAL OIL,LIGHT",DIRECT,DE900
2129,castor oil,IN,4008463,CASTOR OIL,INDIRECT,GA000
258439,heavy mineral oil,IN,4009127,"MINERAL OIL,HEAVY",INDIRECT,GA000
32926,paregoric,IN,4001272,PAREGORIC,INDIRECT,GA000
2129,castor oil,IN,4008463,CASTOR OIL,INDIRECT,GA200
258439,heavy mineral oil,IN,4009127,"MINERAL OIL,HEAVY",INDIRECT,GA200
258439,heavy mineral oil,IN,4009127,"MINERAL OIL,HEAVY",DIRECT,GA203
2129,castor oil,IN,4008463,CASTOR OIL,DIRECT,GA204
32926,paregoric,IN,4001272,PAREGORIC,DIRECT,GA208
1007537,chondroitin sulfates / glucosamine / methylsulfonylmethane,MIN,4017099,CHONDROITIN/GLUCOSAMINE/METHYLSULFONYLMETHAMANE,DIRECT,HA000
1305608,fennel oil,IN,4017007,FENNEL OIL,DIRECT,HA000
1305653,wormwood oil,IN,4016017,WORMWOOD OIL,DIRECT,HA000
1305661,sage oil,IN,4015995,SAGE OIL,DIRECT,HA000
1307580,Salvia miltiorrhiza root extract,IN,4025374,DANSHEN EXTRACT,DIRECT,HA000
1309206,myrrh oil,IN,4025385,MYRRH OIL,DIRECT,HA000
1309213,pennyroyal oil,IN,4025357,PENNYROYAL OIL,DIRECT,HA000
1309236,parsley seed oil,IN,4016014,PARSLEY SEED OIL,DIRECT,HA000
1309245,juniper berry oil,IN,4025352,JUNIPER BERRY OIL,DIRECT,HA000
1309373,caraway oil,IN,4025365,CARUM (CARAWAY) OIL,DIRECT,HA000
1358977,cranberry juice,IN,4017225,CRANBERRY JUICE,DIRECT,HA000
1360631,mustard oil,IN,4025356,MUSTARD OIL,DIRECT,HA000
1431224,grapefruit juice,IN,4017224,GRAPEFRUIT JUICE,DIRECT,HA000
2118124,dillweed oil,IN,4025364,DILLWEED OIL,DIRECT,HA000
221916,chamomile flowers,IN,4009759,CHAMOMILE FLOWERS,DIRECT,HA000
28486,lavender oil,IN,4025354,LAVENDER OIL,DIRECT,HA000
285160,pokeweed preparation,IN,4025382,POKEWEED EXTRACT,DIRECT,HA000
350489,Viscum album preparation,IN,4025376,MISTLETOE EXTRACT,DIRECT,HA000
485876,beta sitosterol / zinc citrate,MIN,4017300,BETA SITOSTEROL/ZINC CITRATE,DIRECT,HA000
705279,oregano oil,IN,4026003,OREGANO OIL,DIRECT,HA000
90945,rosemary oil,IN,4017003,ROSEMARY OIL,DIRECT,HA000
90950,thyme oil,IN,4025347,THYME OIL,DIRECT,HA000
1039062,corn starch,IN,4010525,CORN STARCH,DIRECT,PH000
107129,sterile water,PIN,4003007,"WATER,STERILE",DIRECT,PH000
1305638,almond oil,IN,4009800,ALMOND OIL,DIRECT,PH000
1305651,bergamot oil,IN,4032020,BERGAMOT OIL,DIRECT,PH000
1309229,cinnamon oil,IN,4009803,CINNAMON OIL,DIRECT,PH000
1309243,cottonseed oil,IN,4009766,COTTONSEED OIL,DIRECT,PH000
1309250,olive oil,IN,4010025,OLIVE OIL,DIRECT,PH000
1309376,citronella oil,IN,4009804,CITRONELLA OIL,DIRECT,PH000
1356,beeswax,IN,4009746,"BEESWAX,YELLOW",DIRECT,PH000
239351,liquefied phenol,PIN,4009545,PHENOL LIQUID,DIRECT,PH000
33094,peppermint oil,IN,4017009,PEPPERMINT OIL,DIRECT,PH000
587318,glycolic acid,PIN,4010220,GLYCOLIC ACID,DIRECT,PH000
59087,Eucalyptus oil,IN,4008142,EUCALYPTUS OIL,DIRECT,PH000
6404,linseed oil,IN,4009793,LINSEED OIL,DIRECT,PH000
7624,clove oil,IN,4009805,CLOVE OIL,DIRECT,PH000
7906,paraffin,IN,4025048,PARAFFIN WAX,DIRECT,PH000
8514,polyethylene glycol 400,IN,4010510,POLYETHYLENE GLYCOL 400,DIRECT,PH000
90926,anise oil,IN,4009801,ANISE OIL,DIRECT,PH000
9515,safflower oil,IN,4026083,SAFFLOWER OIL,DIRECT,PH000
1007537,chondroitin sulfates / glucosamine / methylsulfonylmethane,MIN,4017099,CHONDROITIN/GLUCOSAMINE/METHYLSULFONYLMETHAMANE,INDIRECT,VA000
1039062,corn starch,IN,4010525,CORN STARCH,INDIRECT,VA000
107129,sterile water,PIN,4003007,"WATER,STERILE",INDIRECT,VA000
1305608,fennel oil,IN,4017007,FENNEL OIL,INDIRECT,VA000
1305638,almond oil,IN,4009800,ALMOND OIL,INDIRECT,VA000
1305651,bergamot oil,IN,4032020,BERGAMOT OIL,INDIRECT,VA000
1305653,wormwood oil,IN,4016017,WORMWOOD OIL,INDIRECT,VA000
