classId,className,classType
N0000008290,Acetylcholine Activity Alteration,PE
N0000009759,Nervous System Activity Alteration,PE
N0000009761,Neurotransmitter & Neuromuscular Transmitter Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008291,Adrenal Cortical Activity Alteration,PE
N0000009036,Endocrine Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008292,Adrenal Medullary Activity Alteration,PE
N0000009036,Endocrine Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008293,Alveolar Surface Tension Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009839,Respiratory/Pulmonary Activity Alteration,PE
N0000008293,Alveolar Surface Tension Alteration,PE
N0000008294,Alveolar Surface Tension Reduction,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009839,Respiratory/Pulmonary Activity Alteration,PE
N0000008295,Antacid,PE
N0000009022,Digestive/GI System Activity Alteration,PE
N0000009054,Gastric Acid Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008296,Antiperspirant Activity,PE
N0000009020,Dermatologic Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008297,Antipruritic Activity,PE
N0000009020,Dermatologic Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008298,Arterial Vasoconstriction,PE
N0000008331,Cardiovascular Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009906,Vascular Tone Alteration,PE
N0000009908,Vasoconstriction,PE
N0000020002,Vascular Alterations,PE
N0000008299,Arterial Vasodilation,PE
N0000008331,Cardiovascular Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009906,Vascular Tone Alteration,PE
N0000009909,Vasodilation,PE
N0000020002,Vascular Alterations,PE
N0000008300,Aspartate Activity Alteration,PE
N0000009759,Nervous System Activity Alteration,PE
N0000009761,Neurotransmitter & Neuromuscular Transmitter Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008301,Astringent Activity,PE
N0000009020,Dermatologic Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008302,Atrial Depolarization,PE
N0000008330,Cardiac Rhythm Alteration,PE
N0000008331,Cardiovascular Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008303,Atrial Repolarization,PE
N0000008330,Cardiac Rhythm Alteration,PE
N0000008331,Cardiovascular Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008304,Bile Secretion Alteration,PE
N0000009022,Digestive/GI System Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008305,Bladder Contractility Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009832,Renal/Urological Activity Alteration,PE
N0000008306,Bladder Sphincter Tone Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009832,Renal/Urological Activity Alteration,PE
N0000008307,Blood & Lymphatic Fluid Function Alteration,PE
N0000009065,Hematologic Activity Alteration,PE
N0000009069,Hemic/Lymphatic Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000008309,Bone Formation Alteration,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000008309,Bone Formation Alteration,PE
N0000008310,Bone Formation Inhibition,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000008309,Bone Formation Alteration,PE
N0000008311,Bone Formation Stimulation,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000008312,Bone Resorption Alteration,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000008312,Bone Resorption Alteration,PE
N0000008313,Bone Resorption Inhibition,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008308,Bone Alteration,PE
N0000008312,Bone Resorption Alteration,PE
N0000008314,Bone Resorption Stimulation,PE
N0000009755,Musculoskeletal Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008315,Brain Derived Neurotropic Factor Activity Alteration,PE
N0000009759,Nervous System Activity Alteration,PE
N0000009761,Neurotransmitter & Neuromuscular Transmitter Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000008316,Breast Function Alteration,PE
N0000009044,Female Reproductive System Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009833,Reproductive System Activity Alteration,PE
N0000008316,Breast Function Alteration,PE
N0000008317,Breast Glandular Development Alteration,PE
N0000009044,Female Reproductive System Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009833,Reproductive System Activity Alteration,PE
N0000008316,Breast Function Alteration,PE
N0000008318,Breast Milk Ejection,PE
N0000009044,Female Reproductive System Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
N0000009833,Reproductive System Activity Alteration,PE
N0000008316,Breast Function Alteration,PE
N0000008319,Breast Milk Secretion,PE
N0000009044,Female Reproductive System Activity Alteration,PE
N0000009770,Organ System Specific Effects,PE
N0000009802,Physiologic Effect (PE),PE
